title,author,scipt date,script type,movie url,script url
10 Things I Hate About You,"Karen McCullah Lutz,Kirsten Smith,William Shakespeare",1997-11,Draft,https://imsdb.com/Movie%20Scripts/10%20Things%20I%20Hate%20About%20You%20Script.html,https://imsdb.com/scripts/10-Things-I-Hate-About-You.html
12,Lawrence Bridges,Undated,Draft,https://imsdb.com/Movie%20Scripts/12%20Script.html,https://imsdb.com/scripts/12.html
12 and Holding,Anthony Cipriano,2004-04,Draft,https://imsdb.com/Movie%20Scripts/12%20and%20Holding%20Script.html,https://imsdb.com/scripts/12-and-Holding.html
12 Monkeys,"David Peoples,Janet Peoples",1994-06,Draft,https://imsdb.com/Movie%20Scripts/12%20Monkeys%20Script.html,https://imsdb.com/scripts/12-Monkeys.html
12 Years a Slave,John Ridley,Undated,Draft,https://imsdb.com/Movie%20Scripts/12%20Years%20a%20Slave%20Script.html,https://imsdb.com/scripts/12-Years-a-Slave.html
127 Hours,"Simon Beaufoy,Danny Boyle",Undated,Draft,https://imsdb.com/Movie%20Scripts/127%20Hours%20Script.html,https://imsdb.com/scripts/127-Hours.html
1492: Conquest of Paradise,Roslyne Bosch,1991-09,Draft,https://imsdb.com/Movie%20Scripts/1492%3A%20Conquest%20of%20Paradise%20Script.html,https://imsdb.com/scripts/1492:-Conquest-of-Paradise.html
15 Minutes,John Hertzfield,Undated,Draft,https://imsdb.com/Movie%20Scripts/15%20Minutes%20Script.html,https://imsdb.com/scripts/15-Minutes.html
17 Again,Jason Filardi,2007-10,Draft,https://imsdb.com/Movie%20Scripts/17%20Again%20Script.html,https://imsdb.com/scripts/17-Again.html
187,Scott Yagemann,1996-11,Draft,https://imsdb.com/Movie%20Scripts/187%20Script.html,https://imsdb.com/scripts/187.html
2001: A Space Odyssey,"Stanley Kubrick,Arhur C. Clarke",1989-02,Draft,https://imsdb.com/Movie%20Scripts/2001%3A%20A%20Space%20Odyssey%20Script.html,https://imsdb.com/scripts/2001:-A-Space-Odyssey.html
2012,"Roland Emmerich,Harald Kloser",2008-02,Second draft,https://imsdb.com/Movie%20Scripts/2012%20Script.html,https://imsdb.com/scripts/2012.html
25th Hour,David Benioff,2001-04,Draft,https://imsdb.com/Movie%20Scripts/25th%20Hour%20Script.html,https://imsdb.com/scripts/25th-Hour.html
28 Days Later,Alex Garland,Undated,Draft,https://imsdb.com/Movie%20Scripts/28%20Days%20Later%20Script.html,https://imsdb.com/scripts/28-Days-Later.html
30 Minutes or Less,"Michael Diliberti,Matthew Sullivan",2009-12,Draft,https://imsdb.com/Movie%20Scripts/30%20Minutes%20or%20Less%20Script.html,https://imsdb.com/scripts/30-Minutes-or-Less.html
42,Brian Helgeland,2012-07,Revised draft,https://imsdb.com/Movie%20Scripts/42%20Script.html,https://imsdb.com/scripts/42.html
44 Inch Chest,"Louis Mellis,David Scinto",Undated,Draft,https://imsdb.com/Movie%20Scripts/44%20Inch%20Chest%20Script.html,https://imsdb.com/scripts/44-Inch-Chest.html
48 Hrs.,"Steven E. De Souza,Walter Hill,Roger Spottiswoode,Larry Gross,Jeb Stuart",Undated,Draft,https://imsdb.com/Movie%20Scripts/48%20Hrs.%20Script.html,https://imsdb.com/scripts/48-Hrs..html
50-50,Will Reiser,2008-07,Draft,https://imsdb.com/Movie%20Scripts/50-50%20Script.html,https://imsdb.com/scripts/50-50.html
500 Days of Summer,"Scott Neustadter,Michael H. Weber",Undated,First draft,https://imsdb.com/Movie%20Scripts/500%20Days%20of%20Summer%20Script.html,https://imsdb.com/scripts/500-Days-of-Summer.html
8 Mile,Scott Silver,2001-04,Draft,https://imsdb.com/Movie%20Scripts/8%20Mile%20Script.html,https://imsdb.com/scripts/8-Mile.html
8MM,Andrew Kevin Walker,1997-05,Draft,https://imsdb.com/Movie%20Scripts/8MM%20Script.html,https://imsdb.com/scripts/8MM.html
9,"Pamela Pettler,Shane Acker",Undated,Draft,https://imsdb.com/Movie%20Scripts/9%20Script.html,https://imsdb.com/scripts/9.html
A Few Good Men,Aaron Sorkin,1991-07,Revised draft,https://imsdb.com/Movie%20Scripts/A%20Few%20Good%20Men%20Script.html,https://imsdb.com/scripts/A-Few-Good-Men.html
A Most Violent Year,J.C. Chandor,Undated,Draft,https://imsdb.com/Movie%20Scripts/A%20Most%20Violent%20Year%20Script.html,https://imsdb.com/scripts/A-Most-Violent-Year.html
A Prayer Before Dawn,Jonathan Hirschbein,2016-02,Draft,https://imsdb.com/Movie%20Scripts/A%20Prayer%20Before%20Dawn%20Script.html,https://imsdb.com/scripts/A-Prayer-Before-Dawn.html
A Quiet Place,"Bryan Woods,Scott Beck,John Krasinski",Undated,Draft,https://imsdb.com/Movie%20Scripts/A%20Quiet%20Place%20Script.html,https://imsdb.com/scripts/A-Quiet-Place.html
A Scanner Darkly,Charlie Kaufman,Undated,Draft,https://imsdb.com/Movie%20Scripts/A%20Scanner%20Darkly%20Script.html,https://imsdb.com/scripts/A-Scanner-Darkly.html
A Serious Man,"Joel Coen,Ethan Coen",2007-06,Draft,https://imsdb.com/Movie%20Scripts/A%20Serious%20Man%20Script.html,https://imsdb.com/scripts/A-Serious-Man.html
A.I.,"Ian Watson,Brian Aldiss,Steven Spielberg",2001,Transcript,https://imsdb.com/Movie%20Scripts/A.I.%20Script.html,https://imsdb.com/scripts/A.I..html
Above the Law,"Steven Pressfield,Ronald Shusett,Andrew Davis,Steven Seagal",1987-04,Draft,https://imsdb.com/Movie%20Scripts/Above%20the%20Law%20Script.html,https://imsdb.com/scripts/Above-the-Law.html
Absolute Power,"David Baldacci,William Goldman",1996-05,Draft,https://imsdb.com/Movie%20Scripts/Absolute%20Power%20Script.html,https://imsdb.com/scripts/Absolute-Power.html
"Abyss, The",James Cameron,1988-08,Draft,https://imsdb.com/Movie%20Scripts/Abyss%2C%20The%20Script.html,"https://imsdb.com/scripts/Abyss,-The.html"
Ace Ventura: Pet Detective,"Jack Bernstein,Tom Shadyac,Jim Carrey",Undated,Draft,https://imsdb.com/Movie%20Scripts/Ace%20Ventura%3A%20Pet%20Detective%20Script.html,https://imsdb.com/scripts/Ace-Ventura:-Pet-Detective.html
Adaptation,"Charlie Kaufman,Donald Kaufman",2000-11,Draft,https://imsdb.com/Movie%20Scripts/Adaptation%20Script.html,https://imsdb.com/scripts/Adaptation.html
"Addams Family, The","Charles Addams,Caroline Thompson",1991-04,Shooting Script,https://imsdb.com/Movie%20Scripts/Addams%20Family%2C%20The%20Script.html,"https://imsdb.com/scripts/Addams-Family,-The.html"
"Adjustment Bureau, The","George Nolfi,Philip K Dick",Undated,Draft,https://imsdb.com/Movie%20Scripts/Adjustment%20Bureau%2C%20The%20Script.html,"https://imsdb.com/scripts/Adjustment-Bureau,-The.html"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",Earl Mac Rauch,1983-03,Draft,https://imsdb.com/Movie%20Scripts/Adventures%20of%20Buckaroo%20Banzai%20Across%20the%20Eighth%20Dimension%2C%20The%20Script.html,"https://imsdb.com/scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html"
