collection_id,collection_name
0,#TemanTapiMenikah
1,... Cameras Collection
2,..... Is Gone
3,.hack Collection
4,10 Days of a Man Collection
5,10/31 Collection
6,100 Candles Game Collection
7,100 Girls/Women Collection
8,100% Coco Collection
9,101 Dalmatians (Live-Action) Collection
10,12 Dogs of Christmas Collection
11,12 Rounds Collection
12,14+ (Коллекция)
13,18+ - Collection
14,1920 Collection
15,1981 Collection
16,2 Days In... Collection
17,2001 Maniacs Collection
18,20th Century Boys Collection
19,28 Days/Weeks Later Collection
20,3 A.M. Collection
21,3 Braves Universe
22,3 Little Pigs collection
23,3 Way Collection
24,30 Days of Night Collection
25,300 Collection
26,365 Days Collection
27,4 Horror Tales Collection
28,4 Kings
29,4-2-4 Collection
30,47 Meters Down Collection
31,47 Ronin Collection
32,50 Foot Cam Girl
33,60 Seconds to Die Collection
34,64 Collection
35,666 Collection
36,8 свиданий (Коллекция)
37,A Bread Factory Collection
38,A California Christmas Collection
39,A Chinese Odyssey Collection
40,A Christmas Prince Collection
41,A Christmas Story Collection
42,A Class to Remember Collection
43,A Dog's Purpose Collection
44,A Doggone Collection
45,A Família Natal (Coleção)
46,A Few Best Men Collection
47,A Frozen Christmas Collection
48,A Haunted House Collection
49,A Haunting on Dice Road: The Hell House Collection
50,A Man and a Woman Collection
51,A Menina que Matou os Pais
52,A Meowy Collection
53,A Monkey's Tale
54,A Night in Nude Collection
55,A Quiet Place Collection
56,A Second Chance Collection
57,A Simple Favor Collection
58,A Very Special Love Collection
59,A Wicked Ghost Collection
60,A Wicked Trilogy Collection
61,A todo tren - Colección
62,ABCD Collection
63,AIBOU Collection
64,AMV Hell
65,ARCHIE Collection
66,AVP Collection
67,Aadu Collection
68,Aashiqui Collection
69,Ab Tak Chhappan Collection
70,About Love Collection
71,Accident Man Collection
72,"Achtung, fertig Filmreihe"
73,Act Naturally Collection
74,Action Figures Collection
75,Active Duty's Double Time Series
76,Ada Apa Dengan Cinta? Collection
77,Adam Chaplin Collection
78,Addio al nubilato - Collezione
79,Admiral Yi Trilogy
80,Adventures of Bailey Collection
81,Adventures of Jurassic Pet Collection
82,After Collection
83,After Porn Ends Collection
84,After School Horror - Collection
85,Against the Wild Collection
86,Agent Cody Banks Collection
87,Ah Boys to Men Collection
88,Aileen Wuornos Collection
89,Aileen Wuornos: Broomfield Collection
90,Ajin Collection
91,Akihabara Trilogy
92,Aku Tahu Kapan Kamu Mati - Collection
93,Aladdin (Live-Action) Collection
94,Aldo Giovanni e Giacomo Collection
95,Alejandro Jodorowsky Autobiography Collection
96,Alemão: Coleção
