company_id,company_name
0," ""DIA"" Productions GmbH & Co. KG"
1," ""Weathering With You"" Film Partners"
2, #littlesecretfilm
3, (Colossal) Pictures
4, (주)유비컬쳐
5, (주)유비콘텐츠
6, +Magenta
7, .40 Caliber
8, .Mille et Une. Films.
9, .hack Conglomerate
10, 010 Films
11, 011 Productions
12, 1 Production Film
13, 1 Production Film Company
14, 1-2-3 Production
15, 1.85 Films
16, 10 Cates Pictures
17, 10 East Pictures
18, 10 West Studios
19, 10.80 Films
20, 10/09 Films
21, 100
22, 100 Bares
23, 100 Chapters
24, 100 Feet Productions
25, 100 doo
26, 100% Halal
27, 100% Synthetic Films
28, 1000 Volt
29, 101 Films
30, 101 Films International
31, 101 Studios
32, 1011 Film
33, 1014 Pictures
34, 1019 Entertainment
35, 1019 Pictures
36, 102 Distribution
37, 104 Films
38, 108 Media
39, 1091
40, 1091 Media
41, 1091 Pictures
42, 10th Hole Productions
43, 10th Street Entertainment
44, 11:11 Entertainment
45, 11:11 Films
46, 11:11 Films & TV
47, 11:11 Mediaworks
48, 11:11 Productions
49, 12 journey
50, 120 Films
51, 120 Over 80
52, 1201 Pictures
53, 120dB Films
54, 120° Films
55, 1244
56, 127 Wall
57, 127 Wall Productions
58, 12th Street Entertainment
59, 13 Bucks Entertainment
60, 13 Entertainment
61, 13 Films
62, 13 Productions
63, 13 TV
64," 13th Studio, The"
65, 14 Reels Plus
66, 14 Sunset
67, 14-18 NOW
68, 140 Productions
69, 1405 comunicaciones
70, 141 Entertainment
71, 1428 Films
72, 1492 Pictures
73, 14ème Art Production
74, 1518 Films
75, 152 WEST Productions
76, 16 Block Productions
77, 16/16 Productions
78, 1618 Action Limited
79, 16:14 Entertainment
80, 16:9 Cine
81, 17-28 Black Production
82, 1718 Studio
83, 18 Reels
84, 180 Degrees
85, 1821 Pictures
86, 185 Films
87, 185 Trax
88, 1868 Studios
89, 18th Street Films
90, 19 Entertainment
91, 19 Twelve Films
92, 19340 Productions
93, 1961 Productores
