imdb_id,collection_id
tt0119273,853
tt0120630,392
tt0120755,1284
tt0120903,2473
tt0120917,2023
tt0132910,2000
tt0134084,1689
tt0134847,1984
tt0139500,2041
tt0144084,127
tt0144528,2146
tt0144964,875
tt0158622,2040
tt0160009,1940
tt0160127,379
tt0162650,1712
tt0164052,880
tt0172495,766
tt0175142,1682
tt0179183,698
tt0183869,1893
tt0184894,1715
tt0187696,135
tt0190138,2246
tt0190332,467
tt0190374,595
tt0190524,1127
tt0191996,635
tt0192614,2199
tt0192731,2375
tt0195714,676
tt0195945,710
tt0196106,1193
tt0198893,143
tt0202236,158
tt0203166,2279
tt0203940,1796
tt0204640,1775
tt0204946,324
tt0208003,270
tt0208911,561
tt0209958,1978
tt0210070,760
tt0210616,372
tt0211181,9
tt0212338,1259
tt0212346,1281
tt0212879,2221
tt0213203,1634
tt0214388,7
tt0215129,1616
tt0216417,2252
tt0216651,2389
tt0216841,982
tt0217086,536
tt0217107,2331
tt0219214,1973
tt0219653,576
tt0222717,2190
tt0223911,2190
tt0224086,2190
tt0227200,1431
tt0228054,236
tt0228786,1996
tt0228982,2352
tt0229260,284
tt0231971,1137
tt0232465,1536
tt0233289,1945
tt0233600,1572
tt0235679,1509
tt0235712,1610
tt0236502,1277
tt0238883,327
tt0239450,156
tt0242024,1897
tt0242519,863
tt0243196,453
tt0244884,2541
tt0251094,744
tt0252985,94
tt0253486,2190
tt0253842,2333
tt0255198,778
tt0256378,2190
tt0256639,1950
tt0258489,1064
tt0259974,545
tt0262221,2190
tt0264079,1878
tt0264581,2190
tt0265101,314
tt0265739,2541
tt0266308,231
tt0266821,1441
tt0268509,561
tt0270957,561
tt0271029,1743
tt0271383,1399
tt0274716,1486
tt0278380,561
tt0278666,1578
tt0284880,220
tt0285005,504
tt0293854,1151
tt0293984,1886
tt0297071,2053
tt0301083,357
tt0311792,1350
tt0325181,1991
tt0330501,1002
tt0338679,42
tt0345885,59
tt0348087,1798
tt0354894,886
tt0356741,945
tt0814243,1421
tt1068773,528
tt1147513,570
tt1291055,545
tt2180441,455
tt6352606,1514
tt0120737,2116
tt0126029,1732
tt0139654,2313
tt0146316,2294
tt0159273,246
tt0162030,2371
tt0163025,1010
tt0164334,97
tt0196229,2505
tt0198781,1300
tt0206275,1677
tt0206314,1001
tt0209163,2138
tt0211443,711
tt0212985,2067
tt0220005,561
tt0221218,2058
tt0227538,1802
tt0230011,182
tt0231402,465
tt0232500,2035
tt0239395,368
tt0240462,575
tt0240772,1405
tt0241527,833
tt0243155,322
tt0245686,990
tt0245799,311
tt0246578,492
tt0247638,2165
tt0247745,1854
tt0250371,2150
tt0250494,1128
tt0252866,125
tt0257106,1682
tt0257408,158
tt0258827,763
tt0259060,1106
tt0261392,977
tt0263488,978
tt0263728,2149
tt0265171,621
tt0265632,1587
tt0265930,1096
tt0266915,1638
tt0267129,2479
tt0268579,1612
tt0269341,352
tt0276773,561
tt0278488,899
tt0279064,620
tt0279112,778
tt0279483,2333
tt0281718,712
tt0281954,2003
tt0282179,1796
tt0283079,2333
tt0284137,736
tt0285280,561
tt0285685,1193
tt0286098,2509
tt0286249,2333
tt0287635,1509
tt0287803,1037
tt0287811,2410
tt0289730,1130
tt0290006,1333
tt0290329,1171
tt0291327,1228
tt0291959,1400
tt0293359,347
tt0293667,2336
tt0293715,1332
tt0293849,2112
tt0294939,149
tt0295578,1636
tt0296042,927
tt0296696,1339
tt0297441,2333
tt0298826,868
tt0298943,979
tt0301214,1325
tt0302819,1311
tt0306741,570
tt0307109,2117
tt0310790,609
tt0311939,2333
tt0312843,1842
tt0314134,267
tt0317743,1037
tt0318819,1466
tt0322645,951
tt0339847,2350
tt0355857,1425
tt0359297,713
tt0388130,944
tt0413669,102
tt0810831,547
tt0831848,455
tt0832449,1421
tt1073223,528
tt15243848,481
tt1967539,1025
tt2756880,628
tt0120804,1598
tt0120912,1265
tt0121765,1811
tt0145487,1794
tt0145937,1558
tt0146063,2167
tt0166813,1797
tt0167261,2116
tt0187738,282
tt0220506,816
tt0238546,2235
tt0243585,1837
tt0246460,972
tt0246677,851
tt0250223,179
tt0250698,1883
tt0251951,1528
tt0253754,1810
tt0257510,464
tt0258463,1969
tt0259134,449
tt0259446,1324
tt0264429,1958
tt0265010,7
tt0265298,268
tt0267913,1687
tt0268380,923
tt0272147,2390
tt0275847,1149
tt0277296,2185
tt0279493,2364
tt0280030,1483
tt0281322,2366
tt0281889,771
tt0282386,286
tt0283111,1356
tt0283644,1127
tt0283900,1790
tt0285492,471
tt0285869,2331
tt0287717,1802
tt0288276,2326
tt0289043,19
tt0289765,2067
tt0289848,134
tt0290916,1848
tt0293124,631
tt0293166,2348
tt0293662,2222
tt0293815,710
tt0295178,190
tt0295297,833
tt0295375,156
tt0295701,2511
tt0296574,940
tt0297162,814
tt0298130,2179
tt0300532,295
tt0301167,504
tt0301524,1738
tt0301893,1816
tt0302585,720
tt0303714,223
tt0303816,343
tt0303933,588
tt0304669,2184
tt0304808,1906
tt0306069,1750
tt0306909,1546
tt0307873,1566
tt0307920,76
tt0308506,1146
tt0309390,129
tt0310065,563
tt0310775,2238
tt0314111,778
tt0314166,867
tt0314691,347
tt0314804,2333
tt0316882,2423
tt0318742,1906
tt0321781,1995
tt0322802,969
tt0324242,2269
tt0325005,1210
tt0325655,2031
tt0328569,2333
tt0328570,2333
tt0329380,1333
tt0329784,2410
tt0329794,267
tt0330316,1240
tt0330842,59
tt0334754,2487
tt0338564,942
tt0341476,2563
tt0341495,1347
tt0341555,1707
tt0344529,2408
tt0345561,94
tt0345685,1338
tt0346060,2333
tt0347791,1509
tt0348226,2295
tt0351817,1664
tt0354593,2557
tt0362257,2333
tt0364385,1002
tt0365066,417
tt0365068,417
tt0366621,951
tt0367104,1178
tt0374262,1871
tt0443753,1476
tt0781046,1386
tt0990372,528
