tconst,averageRating,numVotes
tt0035423,6.4,88417
tt0062336,6.4,185
tt0069049,6.7,7939
tt0070596,7.5,52
tt0082328,5.9,1765
tt0083283,6.7,67
tt0088751,5.2,348
tt0096056,5.6,865
tt0096235,5.7,67
tt0097304,7.0,16
tt0100275,6.5,354
tt0103340,6.3,369
tt0108549,7.8,34
tt0113026,5.6,1423
tt0113092,3.4,839
tt0113506,4.8,241
tt0114447,4.1,162
tt0115937,7.7,13
tt0116391,6.2,265
tt0116628,6.3,63
tt0117163,6.5,53
tt0117743,6.7,64
tt0118141,5.3,949
tt0118154,6.4,8
tt0118589,2.4,23989
tt0118652,4.9,1893
tt0118694,8.1,163645
tt0118710,6.3,157
tt0118852,7.1,4588
tt0118926,6.9,6835
tt0119004,5.6,4703
tt0119231,4.3,191
tt0119273,5.4,9194
tt0119495,5.0,153
tt0119806,6.0,44
tt0119966,6.6,9
tt0119970,5.8,127
tt0119980,6.5,75
tt0120166,4.2,677
tt0120202,6.7,22004
tt0120263,7.5,20121
tt0120454,7.2,485
tt0120467,5.2,4256
tt0120589,7.1,220
tt0120607,4.9,80
tt0120624,6.6,170
tt0120626,7.1,3281
tt0120630,7.1,209619
tt0120667,5.7,341270
tt0120673,6.6,35
tt0120679,7.3,94421
tt0120681,6.7,162988
tt0120698,4.4,369
tt0120733,5.6,370
tt0120737,8.9,1975932
tt0120753,5.7,22273
tt0120755,6.1,373017
tt0120804,6.6,284913
tt0120807,4.8,328
tt0120824,6.7,33777
tt0120903,7.3,639468
tt0120912,6.2,398489
tt0120913,6.6,63521
tt0120917,7.4,221699
tt0121164,7.4,295391
tt0121765,6.6,749383
tt0121766,7.6,834663
tt0122161,4.9,448
tt0122247,5.2,792
tt0122459,6.9,22426
tt0122511,6.1,63
tt0123003,6.0,1591
tt0123055,3.8,145
tt0123581,5.0,76
tt0124889,5.4,113
tt0125022,6.2,57392
tt0126029,7.9,722929
tt0126899,2.7,112
tt0127349,6.5,7521
tt0128158,4.8,103
tt0128165,3.8,76
tt0128216,3.3,294
tt0130436,3.5,36
tt0130623,6.4,66186
tt0131597,5.3,26
tt0131704,4.3,21085
tt0132078,6.0,240
tt0132245,4.6,42761
tt0132885,4.5,398
tt0132910,4.9,12128
tt0133063,7.8,335
tt0133152,5.7,226980
tt0133240,7.2,130591
tt0133752,6.5,108
tt0134084,5.6,162121
tt0134630,6.1,9970
tt0134847,7.0,251203
tt0134983,4.8,19083
tt0135707,6.3,408
tt0135991,4.0,169
tt0136517,3.4,125
tt0137204,8.5,293
tt0137210,8.4,24
tt0137268,5.6,323
tt0138288,6.4,82
tt0138353,5.7,656
tt0138524,6.3,101056
tt0138583,6.2,9
tt0138749,6.9,105994
tt0138818,6.5,107
tt0138856,7.3,14
tt0138927,6.5,447
tt0138946,6.4,22700
tt0139159,7.7,9
tt0139388,5.6,2479
tt0139500,7.0,1703
tt0139654,7.7,465697
tt0140420,7.3,24
tt0140806,6.8,108
tt0141120,4.0,382
tt0141907,4.5,5200
tt0141926,6.6,86602
tt0142634,3.2,725
tt0142650,4.6,276
tt0143344,4.1,221
tt0143558,5.2,74
tt0143861,7.8,2876
tt0144084,7.6,697033
tt0144142,5.1,4019
tt0144189,4.2,208
tt0144280,4.4,81
tt0144528,4.5,52917
tt0144574,6.6,90
tt0144608,4.5,693
tt0144964,4.6,21142
tt0145487,7.4,866515
tt0145937,6.4,6188
tt0146063,6.3,370
tt0146272,4.6,138
tt0146309,7.3,62107
tt0146316,5.8,217261
tt0146803,6.5,499
tt0146882,7.4,188175
tt0146984,6.7,59013
tt0147447,5.6,13
tt0147486,4.1,132
tt0148415,4.1,70
tt0148421,6.6,348
tt0149253,5.9,235
tt0149367,6.3,6356
tt0149624,5.8,15542
tt0150021,4.5,2071
tt0151150,6.1,10897
tt0151299,5.2,20
tt0151309,5.8,150
tt0151372,7.1,373
tt0151685,7.4,20
tt0152083,5.8,86
tt0153012,4.1,122
tt0153100,7.2,46
tt0153464,6.0,2827
tt0153533,6.4,111
tt0154187,6.5,126
tt0154352,7.2,78
tt0155150,4.8,421
tt0156020,6.1,704
tt0156100,3.9,144
tt0156323,5.6,9455
tt0156376,5.7,119
tt0156741,4.9,680
tt0156757,5.9,2112
tt0156807,4.3,1182
tt0156812,7.0,21209
tt0156841,4.7,11629
tt0156942,5.4,192
tt0157007,3.7,368
tt0157122,7.4,3695
tt0157191,5.3,1633
tt0157202,4.8,74
tt0157262,3.5,12787
tt0157472,5.2,15012
tt0157583,6.4,21799
tt0157836,2.8,950
tt0158033,5.9,1815
tt0158622,3.7,25170
tt0159273,6.4,111735
tt0159290,7.4,590
tt0159291,4.8,292
tt0159365,7.2,154768
tt0159369,7.4,101
tt0159371,7.3,202
tt0159378,5.3,41
tt0159396,3.6,164
tt0159784,6.2,7121
tt0160009,5.7,30727
tt0160127,5.6,194621
tt0160184,5.3,29150
tt0160239,4.4,113
tt0160240,7.8,36
tt0160256,5.7,220
tt0160261,6.0,86
tt0160270,6.1,11
tt0160275,7.4,182
tt0160289,5.5,1443
tt0160399,6.1,24442
tt0160403,5.9,1362
tt0160425,6.2,29
tt0160434,4.2,230
tt0160447,4.7,224
tt0160480,7.0,14
tt0160484,4.8,11312
tt0160495,4.7,1043
tt0160547,4.9,435
tt0160611,6.3,14303
tt0160616,5.7,297
tt0160644,5.5,3560
tt0160652,4.6,366
tt0160663,5.5,275
tt0160706,5.3,921
tt0160710,6.9,291
tt0160749,6.1,1013
tt0160751,7.8,20
tt0160759,6.6,171
tt0160797,6.4,49988
tt0160859,3.4,112
tt0160870,5.2,47
tt0160905,5.2,632
tt0161003,5.1,276
tt0161081,6.6,134338
tt0161083,5.4,16699
tt0161088,3.0,334
tt0161216,6.4,2389
tt0161860,7.5,13848
tt0162030,3.3,349
tt0162203,5.2,39
tt0162222,7.8,629237
tt0162346,7.3,125730
tt0162650,6.0,80189
tt0162711,4.9,1620
tt0162838,5.5,289
tt0162983,4.8,13085
tt0163025,5.9,337719
tt0163080,5.8,532
tt0163125,5.3,374
tt0163246,3.3,206
tt0163566,4.6,111
tt0163596,5.1,202
tt0163676,4.6,4805
tt0163745,6.4,688
tt0163764,5.9,267
tt0163978,6.6,251311
tt0163983,5.1,15277
tt0164003,5.9,5750
tt0164052,5.8,137125
tt0164182,8.3,14
tt0164184,6.4,123368
tt0164192,4.7,824
tt0164212,6.4,27346
tt0164318,5.5,357
tt0164334,6.4,94858
tt0164545,3.7,500
tt0164810,6.0,1058
tt0164953,6.9,31
tt0164961,6.4,22964
tt0165361,6.1,6756
tt0165400,3.5,282
tt0165452,3.2,49
tt0165642,3.2,181
tt0165713,6.8,13
tt0165800,3.9,656
tt0165832,7.6,36122
tt0165928,4.5,262
tt0165929,6.1,73139
tt0165982,6.7,58701
tt0166013,6.4,775
tt0166110,4.4,8117
tt0166158,5.6,2526
tt0166186,5.6,74
tt0166192,5.6,221
tt0166276,4.8,19050
tt0166339,7.8,11
tt0166370,4.8,2050
tt0166813,7.2,83846
tt0166924,7.9,378632
tt0167116,6.0,3401
tt0167183,4.8,220
tt0167190,6.8,346184
tt0167203,5.5,4851
tt0167260,9.0,1948676
tt0167261,8.8,1757143
tt0167360,5.4,973
tt0167456,4.3,14382
tt0168446,7.1,3437
tt0168504,5.6,1739
tt0168509,6.2,29
tt0168515,7.6,776
tt0168578,4.4,143
tt0168612,5.3,163
tt0168629,7.9,115587
tt0168631,4.7,642
tt0168714,2.5,29
tt0168786,7.3,38036
tt0168856,6.0,7203
tt0169102,8.1,119689
tt0169122,3.5,491
tt0169324,5.7,875
tt0169543,5.6,771
tt0169579,6.4,42
tt0170008,5.4,176
tt0170016,6.3,288544
tt0170367,5.7,41
tt0170452,5.1,651
tt0170508,6.8,208
tt0170691,6.9,42971
tt0171339,3.1,117
tt0171356,5.6,7800
tt0171359,5.9,9927
tt0171433,6.4,53011
tt0171580,6.3,36033
tt0171827,9.0,86
tt0172156,6.6,264182
tt0172182,6.7,117
tt0172464,3.2,515
tt0172495,8.5,1593391
tt0172543,7.0,4010
tt0172632,6.6,1634
tt0172699,4.6,251
tt0172794,4.0,436
tt0172949,3.8,87
tt0172995,5.5,213
tt0173498,4.8,326
tt0173568,5.9,390
tt0173716,6.2,16482
tt0173840,6.4,83732
tt0174336,4.4,4321
tt0174480,5.6,28007
tt0174646,6.5,43
tt0174732,6.1,155
tt0175114,7.3,28
tt0175142,6.3,282371
tt0176185,4.2,317
tt0176244,3.9,474
tt0176578,6.9,15
tt0176579,2.5,513
tt0176694,8.0,1101
tt0176783,5.9,17428
tt0176883,5.2,303
tt0177068,5.2,800
tt0177185,3.9,472
tt0177195,4.1,433
tt0177213,7.3,60
tt0177513,5.3,40
tt0177636,5.5,299
tt0177650,5.2,2165
tt0177845,6.2,1451
tt0177858,7.6,22724
tt0177882,6.6,5196
tt0177885,4.5,495
tt0177888,5.9,591
tt0177971,6.5,176340
tt0177997,3.7,373
tt0178043,6.2,1344
tt0178050,5.6,1790
tt0178642,5.5,3163
tt0179098,6.6,14587
tt0179144,6.1,57
tt0179183,4.5,7262
tt0179220,8.5,27
tt0179344,2.7,222
tt0179400,5.7,79
tt0179435,5.3,755
tt0179443,3.5,1107
tt0179473,4.2,1589
tt0179626,6.1,51705
tt0179653,7.1,74
tt0179803,5.0,161
tt0179861,3.5,1293
tt0180052,3.9,26820
tt0180073,7.2,56329
tt0180093,8.3,887448
tt0180679,6.2,1978
tt0180683,5.9,147
tt0180734,6.4,33130
tt0181151,5.6,9789
tt0181311,5.6,839
tt0181536,7.3,88920
tt0181594,7.7,50
tt0181689,7.6,578202
tt0181739,6.3,38331
tt0181836,5.7,2504
tt0181852,6.3,415555
tt0181865,7.6,217964
tt0181875,7.9,290376
tt0181912,6.2,2998
tt0181945,5.5,152
tt0181984,7.0,55994
tt0182000,5.8,8083
tt0182027,5.8,86
tt0182295,5.9,4858
tt0182508,6.9,3148
tt0183056,6.8,1157
tt0183113,5.2,94
tt0183142,2.5,258
tt0183280,3.3,404
tt0183423,3.8,130
tt0183488,6.6,66
tt0183505,6.6,248832
tt0183523,5.7,76014
tt0183550,6.4,580
tt0183639,4.5,176
tt0183649,7.1,282853
tt0183659,7.0,29289
tt0183790,7.0,199012
tt0183808,4.9,612
tt0183869,6.5,58526
tt0184009,6.0,36
tt0184457,4.6,190
tt0184719,6.8,298
tt0184791,6.1,21829
tt0184858,5.8,42042
tt0184894,6.6,134114
tt0184907,5.2,13581
tt0185007,5.0,407
tt0185014,7.2,66233
tt0185183,2.5,82638
tt0185431,5.3,111330
tt0185542,6.2,444
tt0186029,5.0,82
tt0186045,5.7,15408
tt0186151,7.4,114638
tt0186183,6.1,3790
tt0186202,5.6,942
tt0186221,7.8,18
tt0186454,3.7,481
tt0186549,5.4,421
tt0186566,6.5,85364
tt0186589,5.7,15173
tt0186719,4.1,213
tt0186785,7.6,32
tt0186894,5.8,21606
tt0186975,5.0,15637
tt0187078,6.5,291692
tt0187251,4.1,1369
tt0187387,5.1,142
tt0187393,7.2,290258
tt0187512,5.0,5808
tt0187559,5.8,890
tt0187696,6.0,13945
tt0187738,6.7,231679
tt0187750,4.8,380
tt0187761,5.1,119
tt0187847,6.5,45
tt0188028,6.9,157
tt0188045,5.3,312
tt0188055,5.4,2331
tt0188128,6.6,1332
tt0188160,6.1,901
tt0188424,7.4,15
tt0188453,6.0,26213
tt0188490,6.6,87
tt0188518,5.8,900
tt0188575,5.6,80
tt0188688,4.6,175
tt0189192,5.7,20040
tt0189456,4.3,3714
tt0189541,4.8,1598
tt0189998,6.9,43814
tt0190052,4.2,130
tt0190138,6.7,127979
tt0190332,7.9,279660
tt0190374,3.6,36014
tt0190398,4.9,233
tt0190449,6.2,88
tt0190524,4.3,10366
tt0190590,7.7,327301
tt0190736,4.2,637
tt0190861,6.6,8181
tt0190865,5.9,64769
tt0190938,5.4,1016
tt0190994,4.6,151
tt0191010,5.9,115
tt0191037,5.6,2343
tt0191074,5.2,3444
tt0191133,5.6,7545
tt0191177,5.2,90
tt0191211,5.5,51
tt0191242,5.1,637
tt0191397,6.6,68713
tt0191636,7.1,5706
tt0191754,6.1,53656
tt0191787,5.9,81
tt0191996,6.0,4280
tt0192023,6.2,3213
tt0192071,5.7,19863
tt0192110,8.3,39
tt0192111,5.4,15184
tt0192126,4.1,640
tt0192237,6.7,147
tt0192255,5.7,11365
tt0192295,5.7,648
tt0192346,6.7,66
tt0192455,4.7,3895
tt0192528,3.0,141
tt0192614,5.6,33470
tt0192719,4.7,694
tt0192731,4.4,18825
tt0192788,6.4,1350
tt0192789,6.6,25
tt0192912,4.2,123
tt0192947,7.7,54
tt0192949,5.7,1787
tt0193011,5.3,51
tt0193135,5.5,202
tt0193318,3.1,795
tt0193364,4.6,9169
tt0193365,7.2,28
tt0193537,4.1,111
tt0193545,5.7,195
tt0193560,5.2,6271
tt0193598,6.3,23
tt0193854,6.2,2437
tt0193859,4.4,102
tt0194104,7.0,2985
tt0194218,6.7,8952
tt0194368,6.0,4294
tt0194410,4.2,460
tt0194519,6.6,379
tt0195108,7.3,8
tt0195234,6.9,19188
tt0195308,4.3,396
tt0195393,4.9,132
tt0195551,6.4,65
tt0195631,4.9,394
tt0195685,7.4,216010
tt0195714,6.7,275596
tt0195778,5.2,8850
tt0195857,5.2,171
tt0195860,5.4,55
tt0195938,7.1,268
tt0195944,4.2,152
tt0195945,6.1,43569
tt0196068,4.8,244
tt0196069,7.7,8207
tt0196106,4.2,2715
tt0196158,3.5,7674
tt0196216,6.6,40293
tt0196219,2.2,1255
tt0196223,5.3,1286
tt0196229,6.5,288200
tt0196708,6.2,2710
tt0196723,5.6,1443
tt0197072,3.8,656
tt0197096,6.8,2902
tt0197299,3.6,124
tt0197384,5.8,3494
tt0197633,4.8,700
tt0197644,4.5,181
tt0197646,4.7,294
tt0197750,3.9,2383
tt0197753,5.6,570
tt0197862,7.7,82
tt0197929,6.3,28
tt0197996,5.0,451
tt0198013,8.6,19
tt0198021,6.7,36095
tt0198284,4.5,861
tt0198386,5.6,6652
tt0198460,5.8,294
tt0198748,8.1,78
tt0198781,8.1,964660
tt0198893,4.1,183
tt0198903,5.2,270
tt0199007,4.3,431
tt0199129,6.3,283
tt0199290,4.7,3654
tt0199314,5.9,6759
tt0199481,2.7,5413
tt0199504,5.3,65
tt0199602,6.3,38
tt0199626,5.4,26013
tt0199650,3.9,1082
tt0199725,7.2,23660
tt0199727,6.4,5695
tt0199744,5.0,409
tt0199753,5.7,59635
tt0199898,4.8,296
tt0199974,4.8,1152
tt0200027,6.5,30331
tt0200171,6.1,213
tt0200192,5.4,6331
tt0200422,4.7,853
tt0200427,6.9,1796
tt0200465,7.2,187962
tt0200472,5.6,2395
tt0200483,5.3,57
tt0200525,6.3,26
tt0200530,6.6,5841
tt0200550,5.7,119983
tt0200669,5.9,4574
tt0200720,7.0,8013
tt0200954,3.7,959
tt0201020,6.3,209
tt0201275,7.7,57
tt0201394,5.1,1580
tt0201479,3.9,682
tt0201485,5.3,9404
tt0201670,6.0,421
tt0201694,2.6,1130
tt0201726,4.6,359
tt0201737,5.1,199
tt0201844,2.5,4514
tt0201888,6.9,728
tt0201899,6.8,1649
tt0201901,5.5,324
tt0201934,4.7,77
tt0202236,4.7,958
tt0202294,7.2,69
tt0202314,3.1,1322
tt0202360,5.4,66
tt0202402,5.5,11783
tt0202452,4.4,52
tt0202458,1.9,183
tt0202470,6.3,44982
tt0202487,7.7,24
tt0202560,7.1,23
tt0202623,5.4,4940
tt0202641,7.2,1719
tt0202677,6.6,34972
tt0202695,5.3,83
tt0202711,6.4,944
tt0202829,6.9,14
tt0202856,6.2,194
tt0202989,4.5,725
tt0203009,7.6,296768
tt0203019,7.2,123917
tt0203047,6.2,87
tt0203053,5.5,899
tt0203078,5.4,45
tt0203119,7.3,65897
tt0203144,6.6,17
tt0203166,7.4,23986
tt0203206,8.2,10
tt0203230,7.5,31154
tt0203289,6.6,1660
tt0203297,5.2,559
tt0203536,4.6,652
tt0203540,6.8,6473
tt0203580,3.7,296
tt0203584,6.3,253
tt0203632,7.4,14906
tt0203755,6.2,31170
tt0203830,4.7,312
tt0203835,3.1,898
tt0203912,5.3,97
tt0203940,3.9,3169
tt0203952,4.6,157
tt0203975,4.7,3458
tt0204131,8.1,27
tt0204137,6.6,14433
tt0204175,5.4,17487
tt0204250,2.1,698
tt0204293,7.2,8
tt0204313,5.1,39463
tt0204322,5.0,1012
tt0204350,4.9,1382
tt0204352,6.7,94
tt0204382,7.3,34
tt0204619,4.7,85
tt0204626,5.3,28291
tt0204640,6.7,3453
tt0204679,7.2,18
tt0204698,7.4,44
tt0204700,5.9,9130
tt0204761,5.6,2015
tt0204885,5.7,94
tt0204932,7.3,4417
tt0204933,4.5,165
tt0204946,6.1,103777
tt0205177,5.7,14401
