imdb_id,collection_id
tt0317219,274
tt0317919,963
tt0344854,131
tt0348150,1389
tt0362120,1256
tt0366548,622
tt0371552,137
tt0376994,1869
tt0380268,309
tt0381061,726
tt0381971,345
tt0382625,1650
tt0383216,1631
tt0383574,1126
tt0384537,1303
tt0400717,1079
tt0401711,302
tt0401855,1788
tt0403279,930
tt0409904,1864
tt0414982,501
tt0416449,21
tt0418689,306
tt0419058,649
tt0419946,1597
tt0420294,1434
tt0421729,206
tt0422401,627
tt0422764,1810
tt0424345,305
tt0425601,1751
tt0430912,174
tt0432637,805
tt0433386,1551
tt0434215,512
tt0435680,783
tt0437179,1263
tt0437863,1458
tt0438097,691
tt0439654,1007
tt0441048,400
tt0443431,112
tt0443453,233
tt0443527,1553
tt0443771,1218
tt0444628,647
tt0445800,526
tt0447249,872
tt0452681,1652
tt0454841,1557
tt0454848,708
tt0454919,1164
tt0455499,547
tt0455612,894
tt0456144,990
tt0457297,1479
tt0460480,1536
tt0460611,1710
tt0461642,1269
tt0461936,417
tt0462590,1362
tt0463985,1529
tt0464913,1057
tt0465407,474
tt0465967,1720
tt0466195,1851
tt0466899,1608
tt0470055,1080
tt0472175,1285
tt0473829,264
tt0476649,361
tt0477347,1037
tt0479143,1222
tt0479647,229
tt0479884,330
tt0480082,697
tt0480271,1021
tt0482629,1691
tt0483578,1248
tt0488584,967
tt0489244,1039
tt0489270,1255
tt0491244,451
tt0493430,724
tt0495034,584
tt0497116,97
tt0498380,306
tt0498536,391
tt0499596,1841
tt0757353,996
tt0758742,378
tt0758781,1264
tt0772152,86
tt0772187,1617
tt0780606,1515
tt0781012,1266
tt0781084,1380
tt0782037,349
tt0783492,26
tt0785025,875
tt0795376,444
tt0802983,419
tt0808240,1769
tt0808276,313
tt0809469,1782
tt0810827,378
tt0820117,952
tt0820142,1645
tt0824696,679
tt0828154,1115
tt0829424,469
tt0839739,594
tt0843270,1915
tt0856008,1280
tt0860387,948
tt0861701,370
tt0875025,1420
tt0876294,1714
tt0877709,1275
tt0881252,521
tt0891485,923
tt0893534,809
tt0978797,1072
tt1000095,1136
tt1059950,1074
tt1071815,1020
tt1105263,218
tt1194572,520
tt5184592,824
tt5987124,66
tt5993100,66
tt8165062,1395
tt0859635,1388
tt10127228,182
tt1259528,385
tt1270797,1814
tt1285009,1669
tt1365519,1737
tt1477834,121
tt1502407,614
tt1825683,213
tt2296777,568
tt2557478,1093
tt2677064,1822
tt2737304,209
tt2990140,1483
tt2993848,693
tt3072732,736
tt3104988,332
tt3200412,912
tt3487610,903
tt3606756,1571
tt3619070,81
tt3766354,1520
tt3799232,1580
tt3829266,1148
tt3846674,1733
tt4123430,481
tt4154756,1451
tt4477536,497
tt4500922,1601
tt4633694,1342
tt4761916,1791
tt4779682,1602
tt4881806,755
tt4912910,963
tt5028340,924
tt5052474,1298
tt5056154,912
tt5080556,1217
tt5094192,1457
tt5095030,113
tt5117670,1119
tt5119160,638
tt5177088,1547
tt5208950,782
tt5220122,673
tt5258388,90
tt5325684,628
tt5428666,1525
tt5463162,372
tt5468022,406
tt5664636,590
tt5685006,1167
tt5690992,919
tt5726086,709
tt5814060,1618
tt5822132,1385
tt5827590,1182
tt5844488,692
tt5848272,1865
tt5848992,1250
tt5885106,683
tt5981944,1573
tt6026818,1280
tt6113122,681
tt6133466,1641
tt6170484,973
tt6237612,52
tt6241390,1475
tt6343314,334
tt6428150,657
tt6450628,1216
tt6466464,1609
tt6513656,464
tt6523720,1834
tt6591554,1667
tt6591584,1552
tt6603378,797
tt6622902,1468
tt6644200,40
tt6652708,576
tt6685596,933
tt6748466,869
tt6767852,1747
tt6772418,831
tt6774786,1058
tt6818140,646
tt6821870,293
tt6843812,153
tt6863784,1237
tt6866006,277
tt6869538,392
tt6910020,316
tt6911608,906
tt6912990,31
tt6916362,387
tt6921996,743
tt7021508,665
tt7022500,1439
tt7040874,42
tt7050476,1317
tt7058884,961
tt7066382,1688
tt7080138,1287
tt7089878,1330
tt7095654,1939
tt7108976,393
tt7122596,1700
tt7136896,1616
tt7158736,480
tt7238392,1419
tt7268388,1836
tt7296782,956
tt7322864,1166
tt7329602,1436
tt7338690,1653
tt7339792,1785
tt7367960,1431
tt7372728,1861
tt7415466,1718
tt7424200,1424
tt7431594,1180
tt7448180,1505
tt7476438,1
tt7489740,1027
tt7493808,1840
tt7496972,394
tt7510798,887
tt7520184,1396
tt7533756,873
tt7549618,193
tt7575400,1891
tt7575410,1893
tt7575642,1261
tt7575660,510
tt7607940,1017
tt7609114,1872
tt7639528,563
tt7654890,1758
tt7668724,1597
tt7668870,1262
tt7681970,59
tt7694738,196
tt7695014,1241
tt7745068,999
tt7752454,390
tt7764650,1677
tt7838252,759
tt7841496,870
tt7870578,1936
tt7872636,363
tt7880466,391
tt7885874,779
tt7913394,1052
tt7919372,508
tt7938444,1249
tt7941892,142
tt7959898,1325
tt7961060,425
tt7963218,138
tt7963848,750
tt7981492,1514
tt7983348,827
tt8001346,137
tt8015080,578
tt8024712,1882
tt8028526,232
tt8031554,1368
tt8050266,817
tt8065772,192
tt8065796,876
tt8073604,469
tt8074328,262
tt8076266,0
tt8094320,1023
tt8108180,767
tt8108230,1137
tt8116428,82
tt8155182,842
tt8178958,552
tt8206708,273
tt8255452,1319
tt8264546,12
tt8299800,1929
tt8320394,713
tt8324576,549
tt8396238,1294
tt8418652,981
tt8425332,806
tt8426828,631
tt8430326,1446
tt8478602,578
tt8512746,809
tt8529186,1929
tt8531044,1365
tt8535852,34
tt8539280,822
tt8574252,1704
tt8594582,489
tt8669070,1297
tt8671462,1574
tt8675532,1530
tt8682096,1720
tt8686304,54
tt8707374,642
tt8709036,30
tt8723756,1700
tt8742774,966
tt8744094,581
tt8763008,1382
tt8765496,932
tt8777022,1301
tt8787116,1863
tt8861786,1166
tt8925540,1320
tt8941316,280
tt8947488,1467
tt8954732,1636
tt8956464,333
tt8962336,1207
tt9024440,38
tt9076570,1638
tt9089294,1657
tt9136292,1914
tt9174800,1651
tt9266078,467
tt9278074,158
tt9283056,1673
tt9379674,250
tt9472442,166
tt9490414,968
tt9598270,312
tt9619446,1685
tt9652322,292
tt9812530,1863
tt9844256,312
tt0455944,1520
tt0458481,1305
tt0831387,579
tt1109624,1094
tt1204977,1088
tt1224378,1823
tt1253863,21
tt1270114,1243
tt1291150,1425
tt1408253,1210
tt1430612,411
tt1456606,302
tt1490017,1585
tt1587310,902
tt1631867,866
tt1646971,677
tt1649443,1898
tt1679276,1628
tt1717715,1609
tt1790864,1601
tt1809398,1785
tt1821658,1619
tt1840309,412
tt1843866,266
tt1872181,1445
tt1877832,1869
tt1935302,974
tt1951265,1565
tt1958043,1563
tt2004420,1025
tt2015381,599
tt2043801,251
tt2091947,1120
tt2096672,436
tt2102496,258
tt2103281,1132
tt2109248,1755
tt2150371,1499
tt2170439,668
tt2231489,1242
tt2239832,1717
tt2265171,1642
tt2281587,1614
tt2294449,752
tt2306342,93
tt2309764,1308
tt2310332,1559
tt2333784,1523
tt2339741,1708
tt2345613,842
tt2357291,1212
tt2360390,1783
tt2379386,700
tt2387575,302
tt2404567,184
tt2404583,718
tt2428170,335
tt2446042,1410
tt2473682,1101
tt2480454,1552
tt2505294,134
tt2521436,1102
tt2528814,576
tt2531282,1712
tt2535470,1867
tt2557256,693
tt2609218,1181
tt2626350,1362
tt2664264,1716
tt2670290,115
tt2692250,1037
tt2739884,881
tt2740538,635
tt2781516,1860
tt2800038,140
tt2800240,1267
tt2802144,792
tt2825120,341
tt2828996,35
tt2832470,368
tt2833074,12
tt2850304,1844
tt2857458,978
tt2872570,1066
tt2872732,884
tt2907640,885
tt2911342,428
tt2911666,741
tt2916324,1264
tt2924442,1626
tt2925768,647
tt2926810,1438
tt2936864,1084
tt2955316,1338
tt2967006,1686
tt2975578,1641
tt2978462,416
tt2980706,1130
tt3006826,758
tt3013602,156
tt3019796,864
tt3029556,1229
tt3029558,1229
tt3062880,554
tt3064620,96
tt3078296,1573
tt3096810,262
tt3097204,1569
tt3099498,1765
tt3102440,255
tt3106120,1263
tt3121442,1091
tt3121562,1347
tt3129656,166
tt3130082,1442
tt3140100,387
tt3152098,942
tt3157224,1062
tt3157466,1383
tt3185154,1245
tt3196174,234
tt3204012,1726
tt3222236,1332
tt3242756,1644
tt3244992,1751
tt3246908,1475
tt3260022,606
tt3290714,1247
tt3294206,277
tt3307800,1513
tt3311176,1648
tt3321428,1746
tt3322940,109
tt3331846,1353
tt3336368,933
tt3345466,17
tt3345472,1103
tt3357178,1799
tt3358296,1040
tt3363888,951
tt3402110,1420
tt3405714,1009
tt3419894,1512
tt3421246,212
tt3421616,513
tt3438354,684
tt3438514,640
tt3444184,531
tt3445438,405
tt3448226,1186
tt3451660,582
tt3454828,1549
tt3455204,391
tt3461252,1469
tt3461828,278
tt3462696,1426
tt3464018,1105
tt3465208,1364
tt3465570,534
tt3469440,1368
tt3473596,1779
tt3474600,863
tt3474720,964
tt3477554,1319
tt3480056,617
tt3485166,1632
tt3485732,179
tt3505812,1205
tt3521228,1587
tt3521442,1828
tt3528092,654
tt3529198,1000
tt3531852,201
tt3541262,56
tt3558642,1023
tt3564806,232
tt3572132,748
tt3579524,556
tt3600950,1335
tt3606698,114
tt3612432,901
tt3619772,628
tt3627000,437
tt3636040,344
tt3638012,119
tt3646944,142
tt3652664,630
tt3654212,1917
tt3678938,435
tt3686278,1937
tt3689894,1332
tt3691706,1853
tt3701078,514
tt3701804,485
tt3704538,1800
tt3713166,1791
tt3717532,1020
tt3721554,1917
tt3726220,310
tt3727824,1624
tt3729920,1511
tt3738624,430
tt3740242,1013
tt3759416,137
tt3764230,489
tt3810932,433
tt3822396,1813
tt3830998,819
tt3845960,309
tt3861006,1732
tt3877844,1312
tt3885932,1854
tt3886722,349
tt3907156,1536
tt3915726,1587
