tconst,averageRating,numVotes
tt0035423,6.4,85981
tt0062336,6.4,164
tt0069049,6.7,7553
tt0088751,5.3,328
tt0096056,5.6,831
tt0097304,7.0,16
tt0100275,6.5,339
tt0103340,6.3,341
tt0108549,7.7,33
tt0113026,5.6,1393
tt0113092,3.4,830
tt0113506,4.3,240
tt0114447,4.2,154
tt0115937,7.7,13
tt0116391,6.2,257
tt0116628,6.3,62
tt0116991,7.5,70
tt0117743,6.8,62
tt0118141,5.4,922
tt0118154,6.4,8
tt0118589,2.4,23687
tt0118652,4.9,1850
tt0118694,8.1,153240
tt0118710,6.8,155
tt0118852,7.1,4413
tt0118926,6.9,6706
tt0119004,5.6,4542
tt0119231,4.6,187
tt0119273,5.4,8868
tt0119495,5.0,151
tt0119806,6.1,43
tt0119830,7.2,28
tt0119966,6.7,8
tt0119970,5.9,122
tt0119980,6.5,75
tt0120166,4.3,617
tt0120202,6.7,21586
tt0120263,7.5,19418
tt0120454,7.2,469
tt0120467,5.2,4173
tt0120589,7.0,156
tt0120607,4.9,79
tt0120624,6.6,169
tt0120626,7.1,3207
tt0120630,7.1,195786
tt0120667,5.7,333244
tt0120673,6.6,35
tt0120679,7.3,91278
tt0120681,6.7,158104
tt0120698,4.4,360
tt0120733,5.6,353
tt0120737,8.8,1887585
tt0120753,5.8,21842
tt0120755,6.1,347581
tt0120804,6.6,275077
tt0120807,4.9,318
tt0120824,6.7,33284
tt0120903,7.3,621068
tt0120912,6.1,380944
tt0120913,6.6,62063
tt0120917,7.4,208468
tt0121164,7.3,279806
tt0121765,6.6,718306
tt0121766,7.6,799165
tt0122161,4.9,420
tt0122247,5.2,774
tt0122459,6.9,21619
tt0123003,6.0,1561
tt0123055,3.8,139
tt0123581,5.1,74
tt0124889,5.4,111
tt0125022,6.2,55621
tt0126029,7.9,686717
tt0126899,2.8,110
tt0127349,6.5,7326
tt0128158,4.8,102
tt0128165,4.0,73
tt0128216,3.3,292
tt0130623,6.4,62618
tt0131597,5.2,24
tt0131704,4.3,20590
tt0132078,6.0,239
tt0132245,4.6,41806
tt0132885,4.6,388
tt0132910,4.9,11759
tt0133063,7.8,331
tt0133152,5.7,221980
tt0133240,7.2,122052
tt0133752,6.6,105
tt0134084,5.6,146897
tt0134630,6.1,9744
tt0134847,7.1,243104
tt0134983,4.8,18421
tt0135707,6.3,393
tt0135991,4.1,158
tt0136517,3.1,121
tt0137204,8.6,292
tt0137210,8.4,24
tt0138288,6.4,81
tt0138353,5.7,646
tt0138524,6.3,98883
tt0138749,6.9,99227
tt0138818,6.5,103
tt0138927,6.5,438
tt0138946,6.4,21954
tt0139159,7.7,9
tt0139388,5.6,2284
tt0139500,7.1,1591
tt0139654,7.7,442616
tt0140420,7.3,24
tt0140806,6.8,105
tt0141120,4.0,368
tt0141907,4.5,5058
tt0141926,6.6,83461
tt0142634,3.2,693
tt0142650,4.6,271
tt0143344,4.1,211
tt0143558,5.1,72
tt0143861,7.8,2828
tt0144084,7.6,634350
tt0144142,5.1,3911
tt0144280,4.5,78
tt0144528,4.4,51744
tt0144574,6.6,89
tt0144608,4.5,668
tt0144964,4.6,20670
tt0145487,7.4,825262
tt0145937,6.4,5999
tt0146063,6.2,344
tt0146272,4.9,134
tt0146309,7.3,59824
tt0146316,5.7,211861
tt0146803,7.6,495
tt0146882,7.4,182580
tt0146984,6.7,57832
tt0147447,5.6,13
tt0147486,4.1,127
tt0148415,4.1,67
tt0148421,6.6,340
tt0149253,6.0,233
tt0149367,6.3,6181
tt0149624,5.8,15207
tt0150021,4.5,1948
tt0151150,6.1,10448
tt0151299,5.2,19
tt0151309,6.0,147
tt0151372,7.1,364
tt0151685,7.4,20
tt0152083,5.9,84
tt0153012,4.1,114
tt0153100,7.2,46
tt0153464,6.0,2754
tt0153533,3.6,112
tt0154187,6.7,125
tt0154352,7.1,77
tt0155150,4.9,406
tt0156020,6.1,687
tt0156100,3.9,139
tt0156323,5.6,9253
tt0156376,6.7,113
tt0156741,5.0,644
tt0156757,5.9,2042
tt0156807,4.3,1153
tt0156812,7.0,20804
tt0156841,4.6,11430
tt0156942,5.4,188
tt0157007,3.7,359
tt0157122,7.4,3595
tt0157191,5.3,1583
tt0157202,4.8,73
tt0157262,3.4,12396
tt0157472,5.2,14602
tt0157583,6.4,21370
tt0157836,2.8,921
tt0158033,5.9,1787
tt0158622,3.7,24131
tt0159273,6.4,107505
tt0159290,7.4,581
tt0159291,4.9,286
tt0159365,7.2,150751
tt0159369,7.5,91
tt0159371,7.3,196
tt0159378,5.3,41
tt0159396,3.7,157
tt0159784,6.2,6971
tt0160009,5.7,30239
tt0160127,5.6,189425
tt0160184,5.3,28153
tt0160239,5.2,109
tt0160240,7.8,36
tt0160256,5.7,202
tt0160261,6.0,83
tt0160270,6.1,11
tt0160275,7.5,175
tt0160289,5.5,1423
tt0160399,6.2,24012
tt0160403,5.9,1335
tt0160425,6.6,27
tt0160434,4.2,220
tt0160447,4.8,217
tt0160480,7.0,14
tt0160484,4.8,11086
tt0160495,4.7,1002
tt0160547,5.0,418
tt0160611,6.3,14051
tt0160616,5.8,286
tt0160644,5.5,3482
tt0160652,4.6,350
tt0160663,5.5,265
tt0160706,5.3,910
tt0160710,7.0,272
tt0160749,6.1,993
tt0160751,7.8,20
tt0160759,6.7,165
tt0160797,6.4,48617
tt0160859,3.4,111
tt0160870,5.3,46
tt0160905,5.2,598
tt0161003,5.1,269
tt0161081,6.6,128866
tt0161083,5.4,16121
tt0161088,3.1,323
tt0161216,6.4,2347
tt0161860,7.5,13500
tt0162030,3.3,330
tt0162203,5.0,37
tt0162222,7.8,599299
tt0162346,7.3,122461
tt0162650,6.0,78133
tt0162711,4.9,1587
tt0162838,5.4,285
tt0162983,4.8,12798
tt0163025,5.9,326473
tt0163080,5.8,504
tt0163125,5.4,363
tt0163246,3.3,204
tt0163596,5.2,200
tt0163676,4.6,4684
tt0163745,6.4,669
tt0163764,5.9,260
tt0163978,6.6,242585
tt0163983,5.1,14878
tt0164003,5.9,5584
tt0164052,5.8,133230
tt0164182,8.3,14
tt0164184,6.4,118920
tt0164192,4.6,751
tt0164212,6.4,26420
tt0164318,5.6,339
tt0164334,6.4,89593
tt0164545,3.7,488
tt0164810,6.1,1042
tt0164953,6.9,30
tt0164961,6.4,22489
tt0165361,6.1,6569
tt0165400,3.5,263
tt0165452,3.3,47
tt0165642,3.2,173
tt0165713,6.5,12
tt0165800,4.0,629
tt0165832,7.6,33976
tt0165928,4.4,250
tt0165929,6.1,71418
tt0165982,6.7,55880
tt0166013,6.4,757
tt0166069,6.5,861
tt0166110,4.4,7781
tt0166158,5.6,2448
tt0166186,5.7,71
tt0166192,5.6,216
tt0166276,4.8,18406
tt0166339,7.8,10
tt0166370,4.8,1939
tt0166813,7.2,78319
tt0166924,7.9,361300
tt0167116,6.0,3332
tt0167183,4.8,218
tt0167190,6.8,333978
tt0167203,5.5,4715
tt0167260,9.0,1858226
tt0167261,8.8,1677873
tt0167360,5.4,939
tt0167456,4.3,14064
tt0168446,7.1,3340
tt0168504,5.6,1700
tt0168509,6.2,28
tt0168515,7.7,753
tt0168578,5.5,141
tt0168612,5.3,160
tt0168629,7.9,111598
tt0168631,4.8,627
tt0168714,2.5,27
tt0168786,7.3,36571
tt0168856,6.0,6811
tt0169102,8.1,115815
tt0169122,3.5,474
tt0169324,5.7,841
tt0169543,5.6,758
tt0169579,6.4,42
tt0170008,5.3,163
tt0170016,6.3,266094
tt0170367,5.8,40
tt0170452,5.1,635
tt0170508,6.8,203
tt0170691,7.0,41861
tt0171339,4.6,113
tt0171356,5.6,7609
tt0171359,5.9,9712
tt0171433,6.4,52313
tt0171580,6.3,35503
tt0171827,9.0,84
tt0172156,6.6,254899
tt0172464,3.1,494
tt0172495,8.5,1510984
tt0172543,7.0,3839
tt0172632,6.6,1613
tt0172699,4.6,243
tt0172794,4.0,426
tt0172949,3.8,84
tt0172995,5.5,208
tt0173498,4.8,318
tt0173568,6.2,376
tt0173716,6.2,16049
tt0173840,6.4,82686
tt0174336,4.5,4221
tt0174480,5.6,27119
tt0174646,6.5,42
tt0174732,6.1,153
tt0175114,7.3,27
tt0175142,6.2,266116
tt0175526,5.2,14002
tt0176185,4.3,306
tt0176244,3.9,457
tt0176578,6.9,14
tt0176579,2.5,491
tt0176650,2.7,523
tt0176694,8.0,975
tt0176783,5.9,16811
tt0176883,5.2,296
tt0177068,5.2,778
tt0177185,3.8,442
tt0177195,4.2,413
tt0177213,7.3,60
tt0177513,5.3,41
tt0177636,5.5,291
tt0177650,5.2,2121
tt0177845,6.2,1405
tt0177858,7.7,22282
tt0177882,6.6,5078
tt0177885,4.5,485
tt0177888,5.9,572
tt0177971,6.5,170435
tt0177997,3.9,355
tt0178043,6.2,1319
tt0178050,5.6,1721
tt0178642,5.5,3110
tt0179098,6.6,14313
tt0179144,6.2,56
tt0179183,4.5,7101
tt0179220,8.5,27
tt0179344,2.6,214
tt0179400,5.8,74
tt0179435,5.3,739
tt0179443,3.5,1090
tt0179473,4.2,1537
tt0179626,6.1,50892
tt0179653,7.1,74
tt0179803,5.1,150
tt0179861,3.5,1226
tt0180052,3.8,26238
tt0180073,7.3,55083
tt0180093,8.3,848983
tt0180679,6.2,1907
tt0180683,6.2,141
tt0180734,6.4,32044
tt0181151,5.6,9621
tt0181311,5.6,821
tt0181536,7.3,87102
tt0181594,7.7,49
tt0181689,7.6,558160
tt0181739,6.3,36889
tt0181836,5.7,2421
tt0181852,6.3,403853
tt0181865,7.6,209814
tt0181875,7.9,280077
tt0181945,5.7,144
tt0181984,7.0,54221
tt0182000,5.8,7979
tt0182027,6.0,81
tt0182295,5.9,4731
tt0182508,6.9,3104
tt0183056,6.6,1031
tt0183113,5.4,90
tt0183142,2.5,250
tt0183280,3.3,396
tt0183423,4.0,121
tt0183488,6.7,61
tt0183505,6.6,240984
tt0183523,5.6,74326
tt0183550,6.4,571
tt0183639,4.6,165
tt0183649,7.1,272941
tt0183659,7.0,28666
tt0183790,6.9,190469
tt0183808,4.9,590
tt0183869,6.5,56694
tt0184009,6.0,36
tt0184457,4.7,182
tt0184719,6.8,294
tt0184791,6.1,21474
tt0184858,5.8,40881
tt0184894,6.6,129637
tt0184907,5.1,13114
tt0185007,5.0,385
tt0185014,7.2,65036
tt0185183,2.5,80868
tt0185431,5.3,107580
tt0185542,6.2,432
tt0186029,5.0,79
tt0186045,5.7,14937
tt0186151,7.4,110244
tt0186183,6.1,3648
tt0186202,5.6,918
tt0186221,7.8,18
tt0186454,3.7,464
tt0186549,5.4,412
tt0186566,6.5,82766
tt0186589,5.7,14633
tt0186719,4.1,208
tt0186785,7.6,32
tt0186894,5.8,21157
tt0186975,5.0,15310
tt0187078,6.5,282408
tt0187387,5.4,138
tt0187393,7.2,279180
tt0187512,5.0,5700
tt0187559,5.9,855
tt0187696,6.0,13626
tt0187738,6.7,222551
tt0187750,4.8,365
tt0187761,5.8,118
tt0187847,6.7,43
tt0188028,6.9,150
tt0188045,5.4,297
tt0188055,5.4,2281
tt0188128,6.6,1311
tt0188160,6.1,884
tt0188424,7.4,15
tt0188453,6.0,25807
tt0188490,6.6,84
tt0188518,5.8,872
tt0188575,5.5,79
tt0188688,4.5,160
tt0189192,5.7,19557
tt0189456,4.3,3548
tt0189541,4.9,1593
tt0189998,6.9,42627
tt0190052,4.2,125
tt0190138,6.7,123065
tt0190332,7.9,272015
tt0190374,3.6,34026
tt0190398,4.9,226
tt0190449,6.2,88
tt0190524,4.3,10007
tt0190590,7.7,316546
tt0190736,4.2,612
tt0190861,6.6,7965
tt0190865,5.9,62754
tt0190938,5.4,997
tt0190994,4.6,146
tt0191037,5.6,2301
tt0191074,5.2,3376
tt0191133,5.5,7330
tt0191177,5.2,88
tt0191211,5.5,51
tt0191242,5.1,619
tt0191397,6.6,66337
tt0191636,7.1,5617
tt0191754,6.1,51369
tt0191787,5.9,79
tt0191996,6.0,4163
tt0192023,6.3,2582
tt0192071,5.7,19363
tt0192110,8.3,39
tt0192111,5.4,14798
tt0192126,4.1,625
tt0192237,6.8,143
tt0192255,5.7,10795
tt0192295,5.7,637
tt0192346,6.6,64
tt0192455,4.7,3815
tt0192528,4.0,121
tt0192614,5.6,32785
tt0192719,4.7,679
tt0192731,4.3,18062
tt0192788,6.3,1292
tt0192789,6.6,25
tt0192912,4.2,120
tt0192947,7.9,50
tt0192949,5.7,1763
tt0193011,5.2,51
tt0193135,5.5,196
tt0193318,3.1,753
tt0193364,4.6,8748
tt0193365,7.2,28
tt0193537,4.0,108
tt0193545,5.7,193
tt0193560,5.2,6119
tt0193598,6.4,22
tt0193854,6.2,2357
tt0193859,4.4,91
tt0194104,7.0,2929
tt0194143,4.9,759
tt0194218,6.7,8729
tt0194368,6.0,4138
tt0194410,4.2,430
tt0194519,6.8,372
tt0195108,7.3,8
tt0195234,6.9,18763
tt0195308,4.4,376
tt0195393,4.9,127
tt0195551,6.4,65
tt0195631,4.9,372
tt0195685,7.4,202148
tt0195714,6.7,260578
tt0195778,5.1,8707
tt0195857,5.1,151
tt0195860,5.4,54
tt0195944,4.2,146
tt0195945,6.1,41777
tt0196068,5.0,228
tt0196069,7.7,8064
tt0196106,4.1,2618
tt0196158,3.5,7539
tt0196216,6.7,39261
tt0196219,2.2,1247
tt0196223,5.3,1230
tt0196229,6.5,277015
tt0196708,6.2,2629
tt0196723,5.6,1402
tt0197072,3.8,640
tt0197096,6.8,2814
tt0197299,3.7,119
tt0197384,5.8,3446
tt0197633,4.8,683
tt0197644,4.4,165
tt0197646,4.8,285
tt0197750,3.9,2350
tt0197753,5.6,550
tt0197862,7.9,79
tt0197929,6.3,27
tt0197951,4.0,525
tt0197996,5.0,444
tt0198013,8.8,18
tt0198021,6.7,34889
tt0198284,4.5,848
tt0198386,5.6,6516
tt0198460,5.8,287
tt0198748,8.1,78
tt0198781,8.1,917012
tt0198893,4.0,175
tt0198903,5.2,255
tt0199007,4.3,403
tt0199129,6.3,272
tt0199290,4.6,3540
tt0199314,5.9,6635
tt0199481,2.7,5334
tt0199504,5.3,65
tt0199602,6.6,34
tt0199626,5.4,24931
tt0199650,3.9,1040
tt0199725,7.2,22454
tt0199727,6.4,5531
tt0199744,5.0,399
tt0199753,5.7,58533
tt0199898,4.7,287
tt0199974,4.8,1114
tt0200027,6.5,29507
tt0200171,6.1,206
tt0200192,5.4,5959
tt0200422,4.8,820
tt0200427,6.9,1745
tt0200465,7.2,183746
tt0200472,5.6,2350
tt0200483,5.3,57
tt0200525,6.3,26
tt0200530,6.6,5716
tt0200550,5.7,116791
tt0200669,5.9,4504
tt0200720,7.0,7695
tt0200940,3.1,348
tt0200954,3.7,943
tt0201020,6.4,203
tt0201275,7.6,57
