tconst,averageRating,numVotes
tt0035423,6.4,85245
tt0062336,6.4,163
tt0067683,6.4,90
tt0069049,6.7,7435
tt0088751,5.2,327
tt0096056,5.6,824
tt0097304,7.0,16
tt0100275,6.5,336
tt0104278,6.1,68
tt0108549,7.7,33
tt0113026,5.6,1382
tt0113092,3.4,822
tt0113506,2.7,240
tt0114447,4.1,153
tt0115937,7.7,13
tt0116391,6.2,253
tt0116628,6.3,62
tt0116991,7.4,70
tt0117743,6.8,62
tt0118141,5.4,915
tt0118154,6.4,8
tt0118589,2.4,23603
tt0118652,4.9,1840
tt0118694,8.1,150173
tt0118710,6.8,155
tt0118852,7.1,4357
tt0118926,6.9,6678
tt0119004,5.6,4502
tt0119231,4.6,185
tt0119273,5.4,8760
tt0119495,5.0,151
tt0119806,6.1,43
tt0119830,7.5,27
tt0119966,6.7,8
tt0119970,5.9,122
tt0119980,6.5,75
tt0120166,4.2,605
tt0120202,6.7,21492
tt0120263,7.5,19269
tt0120454,7.2,466
tt0120467,5.2,4154
tt0120589,7.1,126
tt0120607,5.0,78
tt0120624,6.6,169
tt0120626,7.1,3190
tt0120630,7.1,193281
tt0120667,5.7,331031
tt0120679,7.3,90472
tt0120681,6.7,156991
tt0120698,4.4,360
tt0120733,5.6,353
tt0120737,8.8,1864259
tt0120753,5.8,21719
tt0120755,6.1,343453
tt0120804,6.6,272564
tt0120807,4.9,317
tt0120824,6.7,33163
tt0120903,7.3,615984
tt0120912,6.1,376411
tt0120913,6.6,61689
tt0120917,7.4,205012
tt0121164,7.3,275011
tt0121765,6.6,709759
tt0121766,7.6,789600
tt0122161,4.9,409
tt0122247,5.2,773
tt0122459,6.9,21476
tt0123003,6.0,1555
tt0123055,3.7,135
tt0123581,5.1,73
tt0124889,5.4,111
tt0125022,6.2,55111
tt0126029,7.9,675269
tt0126899,2.8,110
tt0127349,6.5,7299
tt0128158,4.8,102
tt0128165,4.0,73
tt0128216,3.2,291
tt0130623,6.4,61584
tt0131597,5.2,24
tt0131704,4.2,20470
tt0132078,6.1,238
tt0132245,4.6,41564
tt0132885,4.6,388
tt0132910,4.9,11680
tt0133063,7.9,330
tt0133152,5.7,220731
tt0133240,7.2,119586
tt0133752,6.6,105
tt0134084,5.6,144774
tt0134630,6.1,9695
tt0134847,7.1,241007
tt0134983,4.8,18241
tt0135707,6.3,391
tt0135991,4.2,154
tt0136517,3.1,118
tt0137204,8.6,292
tt0137210,8.4,24
tt0138288,6.4,81
tt0138353,5.7,645
tt0138524,6.3,98018
tt0138749,6.9,97427
tt0138818,6.5,102
tt0138927,6.5,438
tt0138946,6.4,21745
tt0139159,7.7,9
tt0139388,5.6,2230
tt0139500,7.1,1572
tt0139654,7.7,436586
tt0140420,7.3,24
tt0140806,6.8,104
tt0141120,4.0,364
tt0141907,4.5,5030
tt0141926,6.6,82960
tt0142634,3.2,685
tt0142650,4.6,270
tt0143344,4.1,208
tt0143558,5.0,67
tt0143861,7.8,2820
tt0144084,7.6,612674
tt0144142,5.1,3889
tt0144280,4.5,78
tt0144528,4.4,51306
tt0144574,6.6,88
tt0144608,4.5,658
tt0144964,4.6,20524
tt0145487,7.4,815077
tt0145937,6.4,5934
tt0146063,6.2,339
tt0146272,4.9,134
tt0146309,7.3,59369
tt0146316,5.7,210273
tt0146803,7.6,520
tt0146882,7.4,181190
tt0146984,6.7,57503
tt0147447,5.6,12
tt0147486,4.1,127
tt0148120,6.9,29
tt0148415,4.1,67
tt0148421,6.6,340
tt0149253,6.0,231
tt0149367,6.3,6145
tt0149624,5.8,15115
tt0150021,4.5,1917
tt0151150,6.1,10326
tt0151299,5.2,19
tt0151309,6.0,147
tt0151372,7.1,351
tt0151685,7.4,20
tt0152083,6.0,83
tt0153012,4.1,111
tt0153100,7.2,46
tt0153464,6.0,2738
tt0153533,6.4,111
tt0154187,6.7,125
tt0154352,7.1,77
tt0155150,4.9,403
tt0155723,6.8,335
tt0155754,6.3,722
tt0156020,6.1,683
tt0156100,4.0,138
tt0156323,5.6,9204
tt0156376,6.7,113
tt0156741,5.0,641
tt0156757,5.9,2037
tt0156807,4.3,1144
tt0156812,7.0,20701
tt0156841,4.6,11377
tt0156942,5.5,188
tt0157007,3.8,358
tt0157122,7.4,3565
tt0157191,5.3,1563
tt0157202,4.8,73
tt0157262,3.4,12269
tt0157472,5.2,14487
tt0157583,6.4,21246
tt0157836,2.8,915
tt0158033,5.9,1781
tt0158622,3.7,23909
tt0159273,6.4,106636
tt0159290,7.4,579
tt0159291,4.8,285
tt0159365,7.2,149702
tt0159369,7.4,90
tt0159371,7.5,194
tt0159378,5.3,41
tt0159396,3.7,157
tt0159784,6.2,6948
tt0160009,5.7,30117
tt0160127,5.6,188134
tt0160182,4.0,425
tt0160184,5.3,27482
tt0160239,5.2,109
tt0160240,7.8,36
tt0160256,5.7,200
tt0160261,6.0,83
tt0160270,6.1,11
tt0160275,7.5,174
tt0160289,5.5,1422
tt0160399,6.2,23874
tt0160403,5.9,1326
tt0160425,6.6,27
tt0160434,4.2,219
tt0160447,4.8,217
tt0160480,7.0,14
tt0160484,4.8,11044
tt0160495,4.7,997
tt0160547,5.0,418
tt0160611,6.3,13999
tt0160616,5.8,284
tt0160644,5.5,3461
tt0160652,4.6,348
tt0160663,5.5,263
tt0160706,5.3,907
tt0160710,7.0,268
tt0160749,6.1,993
tt0160751,7.8,20
tt0160759,6.7,165
tt0160797,6.4,48188
