collection_id,collection_name
0,#TemanTapiMenikah
1,... Cameras Collection
2,.hack Collection
3,10 giorni... - Collezione
4,100 Girls Collection
5,100% Coco Collection
6,101 Dalmatians (Live-Action) Collection
7,12 Dogs of Christmas Collection
8,12 Rounds Collection
9,12 Westerns in 12 Months Collection
10,14+ (Коллекция)
11,1920 Collection
12,1981 Collection
13,2 Days In... Collection
14,2001 Maniacs Collection
15,20th Century Boys Collection
16,28 Days/Weeks Later Collection
17,3 A.M. Collection
18,3 Braves Universe
19,3 Little Pigs collection
20,30 Days of Night Collection
21,300 Collection
22,365 Days Collection
23,47 Meters Down Collection
24,47 Ronin Collection
25,64 Collection
26,666 Collection
27,8 свиданий (Коллекция)
28,A California Christmas Collection
29,A Chinese Odyssey Collection
30,A Christmas Prince Collection
31,A Doggone Collection
32,A Dogs Purpose Collection
33,A Few Best Men Collection
34,A Frozen Christmas Collection
35,A Haunted House Collection
36,A Man and a Woman Collection
37,A Menina que Matou os Pais
38,A Meowy Collection
39,A Monkeys Tale
40,A Quiet Place Collection
41,A Second Chance Collection
42,A Simple Favor Collection
43,A Very Special Love Collection
44,ABCD Collection
45,AMV Hell
46,ARCHIE Collection
47,AVP Collection
48,Aadu Collection
49,Aashiqui Collection
50,Ab Tak Chhappan Collection
51,About Love Collection
52,Accident Man Collection
53,"Achtung, fertig Filmreihe"
54,Action Figures Collection
55,Ada Apa Dengan Cinta? Collection
56,Admiral Yi
57,Adventures of Bailey Collection
58,After Collection
59,After Porn Ends Collection
60,Against the Wild Collection
61,Agent Cody Banks Collection
62,Ah Boys to Men Collection
63,Aileen Wuornos Collection
64,Aileen Wuornos: Broomfield Collection
65,Ajin Collection
66,Akihabara Trilogy
67,Aladdin (Live-Action) Collection
68,Aldo Giovanni e Giacomo Collection
69,Alex Cross Collection
70,Algjör Sveppi
71,Alice in Wonderland Collection
72,Alien Factor Collection
73,Alien Sex Files
74,Aliens Ate My Homework Collection
75,All Hallows Eve Collection
76,All for ...
77,Alligator Ladies Collection
78,"Alls Well, Ends Well"
79,Almighty Collection
80,Alone in the Dark Collection
81,Along Came the Devil Collection
82,Along with the Gods Collection
83,Alpha and Omega Collection
84,Alvin and the Chipmunks Collection
85,Always: Sunset on Third Street Collection
86,Amateur Porn Star Killer Collection
87,Ambra Collection
88,American Addict Collection
89,American Civil War Collection
90,American Gospel Collection
91,American Guinea Pig Collection
92,American Pie Collection
93,American Poltergeist
94,American Psycho Collection
95,Amityville Scarecrow Collection
96,An American Girl Collection
97,An Inconvenient Collection
98,Anaconda Collection
99,Analyze Collection
