imdb_id,budget,revenue,certification,original_language
tt0035423,48000000.0,76019000.0,PG-13,en
tt0062336,0.0,0.0,,es
tt0069049,12000000.0,0.0,R,en
tt0088751,350000.0,0.0,,en
tt0093119,7500000.0,0.0,,en
tt0094859,187.0,0.0,,en
tt0096056,0.0,0.0,,en
tt0100275,0.0,0.0,,es
tt0113026,10000000.0,0.0,,en
tt0113092,0.0,0.0,,en
tt0113506,0.0,0.0,,en
tt0114447,0.0,0.0,,en
tt0116391,0.0,0.0,,hi
tt0116991,0.0,0.0,PG-13,en
tt0118141,0.0,0.0,NC-17,en
tt0118154,0.0,0.0,,en
tt0118589,22000000.0,5271670.0,PG-13,en
tt0118652,1000000.0,0.0,R,en
tt0118694,150000.0,12855000.0,PG,cn
tt0118852,0.0,0.0,R,en
tt0118926,0.0,5227350.0,R,en
tt0119004,0.0,6297.0,,en
tt0119231,0.0,0.0,,en
tt0119273,15000000.0,0.0,R,en
tt0119495,0.0,0.0,R,en
tt0119806,0.0,0.0,,en
tt0119970,0.0,0.0,,en
tt0119980,0.0,0.0,,en
tt0120166,0.0,0.0,NR,en
tt0120202,0.0,0.0,,en
tt0120263,0.0,80334.0,,sv
tt0120454,0.0,0.0,,en
tt0120467,120000.0,14904.0,R,en
tt0120589,0.0,0.0,,pt
tt0120607,0.0,0.0,,en
tt0120624,0.0,0.0,,pt
tt0120626,6105120.0,0.0,,pt
tt0120630,45000000.0,224835000.0,G,en
tt0120667,100000000.0,333536000.0,PG-13,en
tt0120679,12000000.0,56298500.0,R,en
tt0120681,35000000.0,74558100.0,R,en
tt0120698,0.0,0.0,,en
tt0120733,0.0,0.0,NR,en
tt0120737,93000000.0,871368000.0,PG-13,en
tt0120753,8000000.0,105983.0,R,en
tt0120755,125000000.0,546388000.0,PG-13,en
tt0120804,33000000.0,102985000.0,R,en
tt0120807,0.0,0.0,,es
tt0120824,38000000.0,24690400.0,R,en
tt0120903,75000000.0,296340000.0,PG-13,en
tt0120912,140000000.0,445135000.0,PG-13,en
tt0120913,75000000.0,36754600.0,PG,en
tt0120917,100000000.0,169328000.0,G,en
tt0121164,40000000.0,118133000.0,,en
tt0121765,120000000.0,649398000.0,PG,en
tt0121766,113000000.0,850000000.0,PG-13,en
tt0122161,0.0,0.0,R,en
tt0122247,0.0,0.0,,en
tt0122459,24000000.0,36610000.0,PG,en
tt0123003,10000000.0,0.0,,en
tt0123055,0.0,0.0,G,en
tt0123581,0.0,0.0,,en
tt0124889,0.0,0.0,,en
tt0125022,35000000.0,57756400.0,PG-13,en
tt0126029,60000000.0,487853000.0,PG,en
tt0126899,150000.0,0.0,,en
tt0127349,8500000.0,327418.0,R,en
tt0128158,0.0,0.0,,en
tt0128165,0.0,0.0,,en
tt0130623,127500000.0,354248000.0,PG,en
tt0131704,76000000.0,35134800.0,PG,en
tt0132078,0.0,0.0,PG-13,en
tt0132245,94000000.0,54744700.0,PG-13,en
tt0132885,0.0,0.0,,en
tt0132910,10000000.0,0.0,R,en
tt0133063,0.0,0.0,,en
tt0133152,100000000.0,362212000.0,PG-13,en
tt0133240,140000000.0,109578000.0,PG,en
tt0133752,0.0,0.0,,en
tt0134084,40000000.0,161834000.0,R,en
tt0134630,0.0,0.0,R,en
tt0134847,23000000.0,53187700.0,R,en
tt0134983,90000000.0,14828100.0,R,en
tt0135707,0.0,0.0,,en
tt0135991,0.0,0.0,,en
tt0137204,0.0,0.0,,en
tt0138288,0.0,0.0,,en
tt0138353,1700000.0,0.0,,en
tt0138524,60000000.0,119941000.0,PG-13,en
tt0138749,95000000.0,76432700.0,PG,en
tt0138818,0.0,0.0,PG-13,en
tt0138927,0.0,0.0,PG-13,en
tt0138946,0.0,0.0,R,en
tt0139388,0.0,0.0,PG,en
tt0139500,0.0,0.0,,pt
tt0139654,45000000.0,104876000.0,R,en
tt0140420,0.0,0.0,,es
tt0140806,0.0,0.0,,en
tt0141120,0.0,0.0,,en
tt0141907,90000000.0,10372300.0,R,en
tt0141926,62000000.0,127666000.0,PG-13,en
tt0142634,0.0,0.0,R,en
tt0142650,0.0,0.0,,en
tt0143344,0.0,0.0,,en
tt0143558,0.0,0.0,,hu
tt0143861,0.0,0.0,,en
tt0144084,7000000.0,34266600.0,R,en
tt0144142,3000000.0,0.0,R,en
tt0144280,100000.0,0.0,,en
tt0144528,84000000.0,123308000.0,PG-13,en
tt0144574,0.0,0.0,,en
tt0144608,0.0,0.0,PG,en
tt0144964,25000000.0,15843600.0,R,en
tt0145487,139000000.0,821709000.0,PG-13,en
tt0145937,3000000.0,13308.0,PG,en
tt0146063,0.0,0.0,G,en
tt0146272,0.0,0.0,,en
tt0146309,80000000.0,34566700.0,PG-13,en
tt0146316,115000000.0,274703000.0,PG-13,en
tt0146803,0.0,0.0,,en
tt0146882,30000000.0,47126300.0,R,en
tt0146984,80000000.0,39459400.0,PG-13,en
tt0147486,0.0,0.0,,en
tt0148120,0.0,0.0,,en
tt0148415,0.0,0.0,,en
tt0148421,0.0,0.0,,en
tt0149253,0.0,0.0,R,en
tt0149367,0.0,0.0,PG-13,en
tt0149624,57000000.0,0.0,PG-13,en
tt0150021,10000000.0,0.0,R,en
tt0151150,6900000.0,15000000.0,,hi
tt0151299,0.0,0.0,,en
tt0151309,0.0,0.0,,en
tt0151372,0.0,0.0,,sv
tt0152083,0.0,0.0,,it
tt0153012,0.0,0.0,,en
tt0153100,0.0,0.0,,en
tt0153464,0.0,0.0,,en
tt0153533,0.0,0.0,,en
tt0154352,0.0,0.0,,en
tt0155150,0.0,0.0,R,en
tt0155723,0.0,0.0,,en
tt0155754,1800000.0,0.0,,en
tt0156020,0.0,0.0,,en
tt0156100,0.0,0.0,,de
tt0156323,10000000.0,7201700.0,R,en
tt0156376,0.0,0.0,NR,en
tt0156741,0.0,0.0,R,en
tt0156757,0.0,0.0,PG-13,en
tt0156807,0.0,0.0,PG-13,en
tt0156812,6000000.0,35547800.0,PG,en
tt0156841,25000000.0,24362800.0,PG-13,en
tt0156942,1200000.0,0.0,,en
tt0157007,1400000.0,0.0,,en
tt0157122,0.0,0.0,R,sv
tt0157191,0.0,0.0,PG-13,en
tt0157202,0.0,0.0,,en
tt0157262,26000000.0,0.0,R,en
tt0157472,26000000.0,38793300.0,PG,en
tt0157583,0.0,15705000.0,R,en
tt0157836,0.0,0.0,,en
tt0158033,0.0,0.0,,en
tt0158622,83000000.0,59468300.0,PG,en
tt0159273,40000000.0,91753200.0,PG-13,en
tt0159290,0.0,0.0,,nl
tt0159291,0.0,0.0,,en
tt0159365,79000000.0,173014000.0,R,en
tt0159369,0.0,0.0,,en
tt0159371,0.0,0.0,,en
tt0159378,0.0,0.0,,en
tt0159396,0.0,0.0,,en
tt0159784,0.0,0.0,R,en
tt0160009,40000000.0,30199100.0,R,en
tt0160127,92000000.0,264106000.0,PG-13,en
tt0160182,0.0,0.0,,en
tt0160184,55000000.0,6632380.0,R,en
tt0160239,0.0,0.0,,en
tt0160240,0.0,0.0,,en
tt0160256,0.0,0.0,,fr
tt0160261,0.0,0.0,,en
tt0160275,0.0,0.0,,en
tt0160289,0.0,0.0,,en
tt0160399,40000000.0,8694320.0,R,en
tt0160403,0.0,0.0,R,en
tt0160434,0.0,0.0,R,en
tt0160447,0.0,0.0,,en
tt0160484,50000000.0,31355900.0,R,en
tt0160495,12000000.0,0.0,R,en
tt0160547,0.0,0.0,,en
tt0160611,0.0,0.0,,en
tt0160616,800000.0,0.0,,en
tt0160644,0.0,0.0,,en
tt0160652,0.0,0.0,R,en
tt0160663,0.0,0.0,,en
tt0160706,0.0,0.0,,en
tt0160710,0.0,0.0,PG-13,en
tt0160749,0.0,0.0,PG,en
tt0160759,0.0,0.0,,pt
tt0160797,60000000.0,71000000.0,R,en
tt0160859,0.0,0.0,,en
tt0160870,0.0,0.0,,en
tt0160905,0.0,0.0,,en
tt0161003,0.0,0.0,,en
tt0161081,100000000.0,291420000.0,PG-13,en
tt0161083,60000000.0,38400000.0,PG-13,en
tt0161088,0.0,0.0,,en
tt0161216,0.0,0.0,,en
tt0161860,0.0,0.0,R,de
tt0162030,0.0,0.0,R,en
tt0162203,0.0,0.0,,en
tt0162222,90000000.0,429632000.0,PG-13,en
tt0162346,7000000.0,0.0,R,en
tt0162650,46000000.0,107626000.0,R,en
tt0162711,0.0,0.0,R,en
tt0162838,3500000.0,0.0,R,en
tt0162983,60000000.0,51880000.0,PG-13,en
tt0163025,93000000.0,368781000.0,,en
tt0163080,0.0,0.0,,en
tt0163125,0.0,0.0,,en
tt0163246,0.0,0.0,,en
tt0163596,0.0,0.0,,en
tt0163676,15000000.0,5217500.0,PG-13,en
tt0163745,1000000.0,0.0,R,en
tt0163764,0.0,0.0,,en
tt0163978,40000000.0,144057000.0,R,en
tt0163983,40000000.0,0.0,R,en
tt0164003,0.0,0.0,R,en
tt0164052,95000000.0,190213000.0,R,en
tt0164182,0.0,0.0,,en
tt0164184,68000000.0,193921000.0,PG-13,en
tt0164192,0.0,0.0,,en
tt0164212,25000000.0,260562.0,R,en
tt0164318,0.0,0.0,,en
tt0164334,60000000.0,105179000.0,R,en
tt0164545,0.0,0.0,,it
tt0164810,0.0,0.0,R,en
tt0164953,0.0,0.0,,en
tt0164961,0.0,0.0,R,fr
tt0165361,14000000.0,0.0,R,en
tt0165400,0.0,0.0,,en
tt0165452,0.0,0.0,R,en
tt0165642,0.0,0.0,,en
tt0165713,0.0,0.0,,en
tt0165800,0.0,0.0,,en
tt0165832,7000000.0,0.0,R,en
tt0165928,0.0,0.0,R,en
tt0165929,25000000.0,91036800.0,R,en
tt0165982,60000000.0,80767900.0,PG,en
