imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt0035423,48000000.0,76019000.0,PG-13,en,2001-12-25,9.183,6.3,1112
tt0062336,0.0,0.0,,es,2020-02-21,1.4,5.3,3
tt0069049,12000000.0,0.0,R,en,2018-11-02,5.155,6.7,155
tt0088751,350000.0,0.0,,en,2005-04-22,2.19,3.4,5
tt0093119,7500000.0,0.0,,en,2020-02-17,9.226,4.4,14
tt0094859,187.0,0.0,,en,2016-10-28,1.512,0.0,0
tt0096056,0.0,0.0,,en,2002-06-01,2.924,5.5,11
tt0100275,0.0,0.0,,es,2017-08-10,0.933,6.7,11
tt0113026,10000000.0,0.0,,en,2000-09-22,2.51,5.4,21
tt0113092,0.0,0.0,,en,2000-11-15,1.518,4.4,7
tt0113506,0.0,0.0,,en,2002-12-06,0.6,0.0,0
tt0114447,0.0,0.0,,en,2001-01-01,1.032,5.0,3
tt0116391,0.0,0.0,,hi,2000-04-14,0.6,0.0,0
tt0116991,0.0,0.0,PG-13,en,1996-07-04,0.837,0.0,0
tt0118141,0.0,0.0,NC-17,en,2005-01-27,3.669,5.8,22
tt0118154,0.0,0.0,,en,2001-10-19,0.6,0.0,0
tt0118589,22000000.0,5271670.0,PG-13,en,2001-09-21,6.391,4.6,115
tt0118652,1000000.0,0.0,R,en,2001-03-30,3.916,5.1,28
tt0118694,150000.0,12855000.0,PG,cn,2000-09-29,14.944,8.1,1879
tt0118852,0.0,0.0,R,en,2000-09-02,4.164,6.9,46
tt0118926,0.0,5227350.0,R,en,2002-09-20,5.467,6.3,50
tt0119004,0.0,6297.0,,en,2001-02-10,4.747,5.4,62
tt0119231,0.0,0.0,,en,2007-10-23,0.6,3.0,1
tt0119273,15000000.0,0.0,R,en,2000-04-19,8.303,6.1,151
tt0119495,0.0,0.0,R,en,2000-08-24,0.6,0.0,0
tt0119806,0.0,0.0,,en,2000-11-09,0.84,0.0,0
tt0119970,0.0,0.0,,en,,0.6,4.8,2
tt0119980,0.0,0.0,,en,2002-07-13,0.6,0.0,0
tt0120166,0.0,0.0,NR,en,2002-04-12,2.59,4.8,10
tt0120202,0.0,0.0,,en,2000-08-26,7.003,6.4,162
tt0120263,0.0,80334.0,,sv,2000-10-06,5.921,7.2,205
tt0120454,0.0,0.0,,en,2000-08-01,2.012,7.2,18
tt0120467,120000.0,14904.0,R,en,2002-04-26,3.692,5.4,41
tt0120589,0.0,0.0,,pt,2022-04-14,3.84,0.0,0
tt0120607,0.0,0.0,,en,2003-02-11,1.712,0.0,0
tt0120624,0.0,0.0,,pt,2001-04-30,1.065,7.3,6
tt0120626,6105120.0,0.0,,pt,2000-04-21,4.536,6.3,46
tt0120630,45000000.0,224835000.0,G,en,2000-06-21,35.78,6.7,4009
tt0120667,100000000.0,333536000.0,PG-13,en,2005-06-29,55.006,5.8,8037
tt0120679,12000000.0,56298500.0,R,en,2002-08-29,14.955,7.5,1725
tt0120681,35000000.0,74558100.0,R,en,2001-02-08,25.426,6.7,2289
tt0120698,0.0,0.0,,en,2000-01-01,1.457,6.0,1
tt0120733,0.0,0.0,NR,en,2000-09-26,2.308,5.0,8
tt0120737,93000000.0,871368000.0,PG-13,en,2001-12-18,92.549,8.4,20943
tt0120753,8000000.0,105983.0,R,en,2000-02-09,6.431,5.9,247
tt0120755,125000000.0,546388000.0,PG-13,en,2000-05-24,22.658,6.1,5297
tt0120804,33000000.0,102985000.0,R,en,2002-03-15,30.639,6.6,5184
tt0120807,0.0,0.0,,es,2001-10-23,0.912,10.0,1
tt0120824,38000000.0,24690400.0,R,en,2001-12-18,6.473,6.3,295
tt0120903,75000000.0,296340000.0,PG-13,en,2000-07-13,2.165,7.0,9591
tt0120912,140000000.0,445135000.0,PG-13,en,2002-07-03,32.704,6.3,8378
tt0120913,75000000.0,36754600.0,PG,en,2000-06-16,10.404,6.6,850
tt0120917,100000000.0,169328000.0,G,en,2000-12-15,83.212,7.5,5466
tt0121164,40000000.0,118133000.0,,en,2005-09-12,119.169,7.5,7135
tt0121765,120000000.0,649398000.0,PG,en,2002-05-15,32.497,6.5,10993
tt0121766,113000000.0,850000000.0,PG-13,en,2005-05-17,33.204,7.4,11410
tt0122161,0.0,0.0,R,en,2000-02-12,2.305,5.0,5
tt0122247,0.0,0.0,,en,2004-01-01,2.49,5.6,11
