tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,id,budget,revenue,certification,original_title,poster_path,tagline,original_language,release_date,popularity,vote_average,vote_count,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt0266543,Finding Nemo,2003.0,100,tt0266543,12,94000000.0,940336000.0,G,Finding Nemo,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,There are 3.7 trillion fish in the ocean. They're looking for one.,en,2003-05-30,115.295,7.8,16369,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846336000.0,9.003574468085107
tt0168629,Dancer in the Dark,2000.0,140,tt0168629,16,12800000.0,40031900.0,R,Dancer in the Dark,/uXvyCRpoTRLSEia59Yj7nAZOSej.jpg,You don't need eyes to see.,en,2000-06-30,10.254,7.9,1399,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27231900.0,2.1274921875
tt0314412,My Life Without Me,2003.0,106,tt0314412,20,2500000.0,12300000.0,R,My Life Without Me,/9Fa7tCEKIha1llGH7E41mxSpaF6.jpg,,en,2003-03-07,8.571,5.8,368,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9800000.0,3.92
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,143,tt0325980,22,140000000.0,655011000.0,PG-13,Pirates of the Caribbean: The Curse of the Black Pearl,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,Prepare to be blown out of the water.,en,2003-07-09,395.886,7.8,17431,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,515011000.0,3.67865
tt0266697,Kill Bill: Vol. 1,2003.0,111,tt0266697,24,30000000.0,180906000.0,R,Kill Bill: Vol. 1,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,A roaring rampage of revenge.,en,2003-10-10,31.217,8.0,14612,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,150906000.0,5.0302
tt0418763,Jarhead,2005.0,125,tt0418763,25,72000000.0,97076200.0,R,Jarhead,/vwsNvqbnLqmKpbllKtancDHzizC.jpg,Welcome to the suck.,en,2005-11-04,19.08,6.6,2295,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25076200.0,0.34828055555555554
tt0462538,The Simpsons Movie,2007.0,87,tt0462538,35,75000000.0,527069000.0,PG-13,The Simpsons Movie,/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,See our family. And feel better about yours.,en,2007-07-25,89.976,7.0,6755,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452069000.0,6.027586666666667
tt0338013,Eternal Sunshine of the Spotless Mind,2004.0,108,tt0338013,38,20000000.0,72258100.0,R,Eternal Sunshine of the Spotless Mind,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,You can erase someone from your mind. Getting them out of your heart is another story.,en,2004-03-19,31.583,8.1,12280,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,52258100.0,2.612905
tt0245712,Amores Perros,2000.0,154,tt0245712,55,2000000.0,20908500.0,R,Amores perros,/vV4vlD4ool5JSsS1rB82qjCF6z8.jpg,Love. Betrayal. Death.,es,2000-06-16,26.035,7.6,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18908500.0,9.45425
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006.0,151,tt0383574,58,200000000.0,1065660000.0,PG-13,Pirates of the Caribbean: Dead Man's Chest,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,Captain Jack is back!,en,2006-07-06,421.949,7.3,13428,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,865660000.0,4.3283
