tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count,Genre_Name,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Game-Show,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Reality-TV,Genre_Romance,Genre_Sci-Fi,Genre_Short,Genre_Sport,Genre_Talk-Show,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt0035423,Kate & Leopold,2001.0,118,tt0035423,48000000.0,76019000.0,PG-13,en,2001-12-25,9.183,6.3,1112,"Comedy,Fantasy,Romance",False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,28019000.0,0.5837291666666666
tt0118589,Glitter,2001.0,104,tt0118589,22000000.0,5271670.0,PG-13,en,2001-09-21,6.391,4.6,115,"Romance,Drama,Music",False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,-16728330.0,-0.7603786363636363
tt0118694,In the Mood for Love,2000.0,98,tt0118694,150000.0,12855000.0,PG,cn,2000-09-29,14.944,8.1,1879,"Romance,Drama",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12705000.0,84.7
tt0120467,Vulgar,2000.0,87,tt0120467,120000.0,14904.0,R,en,2002-04-26,3.692,5.4,41,"Drama,Crime,Thriller",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-105096.0,-0.8758
tt0120630,Chicken Run,2000.0,84,tt0120630,45000000.0,224835000.0,G,en,2000-06-21,35.78,6.7,4009,"Comedy,Adventure,Animation",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,179835000.0,3.9963333333333333
tt0120667,Fantastic Four,2005.0,106,tt0120667,100000000.0,333536000.0,PG-13,en,2005-06-29,55.006,5.8,8037,"Fantasy,Action,Adventure",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,233536000.0,2.33536
tt0120679,Frida,2002.0,123,tt0120679,12000000.0,56298500.0,R,en,2002-08-29,14.955,7.5,1725,"Romance,Drama,Biography",False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,44298500.0,3.6915416666666667
tt0120681,From Hell,2001.0,122,tt0120681,35000000.0,74558100.0,R,en,2001-02-08,25.426,6.7,2289,"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,39558100.0,1.1302314285714286
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0,178,tt0120737,93000000.0,871368000.0,PG-13,en,2001-12-18,92.549,8.4,20943,"Drama,Action,Adventure",True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,778368000.0,8.369548387096774
tt0120753,The Million Dollar Hotel,2000.0,122,tt0120753,8000000.0,105983.0,R,en,2000-02-09,6.431,5.9,247,"Drama,Mystery,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-7894017.0,-0.986752125
tt0120755,Mission: Impossible II,2000.0,123,tt0120755,125000000.0,546388000.0,PG-13,en,2000-05-24,22.658,6.1,5297,"Action,Adventure,Thriller",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,421388000.0,3.371104
tt0120804,Resident Evil,2002.0,100,tt0120804,33000000.0,102985000.0,R,en,2002-03-15,30.639,6.6,5184,"Horror,Sci-Fi,Action",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,69985000.0,2.1207575757575756
tt0120824,The Shipping News,2001.0,111,tt0120824,38000000.0,24690400.0,R,en,2001-12-18,6.473,6.3,295,Drama,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-13309600.0,-0.35025263157894737
tt0120903,X-Men,2000.0,104,tt0120903,75000000.0,296340000.0,PG-13,en,2000-07-13,2.165,7.0,9591,"Sci-Fi,Action,Adventure",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,221340000.0,2.9512
tt0120912,Men in Black II,2002.0,88,tt0120912,140000000.0,445135000.0,PG-13,en,2002-07-03,32.704,6.3,8378,"Comedy,Action,Adventure",True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,305135000.0,2.179535714285714
tt0120913,Titan A.E.,2000.0,94,tt0120913,75000000.0,36754600.0,PG,en,2000-06-16,10.404,6.6,850,"Action,Adventure,Animation",True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-38245400.0,-0.5099386666666667
tt0120917,The Emperor's New Groove,2000.0,78,tt0120917,100000000.0,169328000.0,G,en,2000-12-15,83.212,7.5,5466,"Comedy,Adventure,Animation",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,69328000.0,0.69328
tt0121765,Star Wars: Episode II - Attack of the Clones,2002.0,142,tt0121765,120000000.0,649398000.0,PG,en,2002-05-15,32.497,6.5,10993,"Fantasy,Action,Adventure",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,529398000.0,4.41165
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005.0,140,tt0121766,113000000.0,850000000.0,PG-13,en,2005-05-17,33.204,7.4,11410,"Fantasy,Action,Adventure",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,737000000.0,6.522123893805309
tt0122459,Return to Me,2000.0,115,tt0122459,24000000.0,36610000.0,PG,en,2000-04-07,7.999,6.7,306,"Comedy,Romance,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12610000.0,0.5254166666666666
tt0125022,Heartbreakers,2001.0,123,tt0125022,35000000.0,57756400.0,PG-13,en,2001-03-23,11.469,6.0,721,"Comedy,Romance,Crime",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,22756400.0,0.6501828571428572
tt0126029,Shrek,2001.0,90,tt0126029,60000000.0,487853000.0,PG,en,2001-05-18,156.596,7.7,13865,"Comedy,Adventure,Animation",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,427853000.0,7.130883333333333
tt0127349,Waking the Dead,2000.0,105,tt0127349,8500000.0,327418.0,R,en,2000-03-24,6.647,6.3,68,"Romance,Drama,Mystery",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,-8172582.0,-0.9614802352941176
tt0130623,Dinosaur,2000.0,82,tt0130623,127500000.0,354248000.0,PG,en,2000-05-19,89.92,6.5,2018,"Drama,Adventure,Animation",False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,226748000.0,1.7784156862745097
tt0131704,The Adventures of Rocky & Bullwinkle,2000.0,92,tt0131704,76000000.0,35134800.0,PG,en,2000-06-30,9.42,4.1,297,"Comedy,Adventure,Animation",False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-40865200.0,-0.5377
tt0132245,Driven,2001.0,116,tt0132245,94000000.0,54744700.0,PG-13,en,2001-04-27,12.014,5.2,565,"Drama,Action,Sport",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-39255300.0,-0.4176095744680851
tt0133152,Planet of the Apes,2001.0,119,tt0133152,100000000.0,362212000.0,PG-13,en,2001-07-25,34.67,5.7,3283,"Sci-Fi,Action,Adventure",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,262212000.0,2.62212
tt0133240,Treasure Planet,2002.0,95,tt0133240,140000000.0,109578000.0,PG,en,2002-11-26,44.027,7.5,3337,"Adventure,Animation,Family",False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-30422000.0,-0.2173
tt0134084,Scream 3,2000.0,116,tt0134084,40000000.0,161834000.0,R,en,2000-02-03,25.662,5.9,2537,"Horror,Mystery",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,121834000.0,3.04585
